rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.2222, 2)]",0.3529,"[[63 47], [68 77], [ 73 100], [ 78 109], [ 89 126]]","[[63 47], [68 77], [ 73 100], [ 78 109], [ 89 126]]",84.4951,"[[4, 4]]",790
"[(0.6, 1)]",0.6,"[[132 164], [155 138]]","[[132 164], [155 138]]",34.7131,[[4]],790
"[(0.2857, 6), (0.2941, 4)]",0.4054,"[[91 17], [90 33], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 77 118], [ 81 128], [ 84 143]]","[[91 17], [90 33], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 77 118], [ 81 128], [ 84 143]]",130.9886,"[[0, 5, 2, 2, 1, 3], [1, 4, 8, 4]]",790
[],0.0,"[[ 82 133], [ 89 121], [ 91 115]]","[[ 82 133], [ 89 121], [ 91 115]]",20.217,[],790
"[(0.1538, 3)]",0.1538,"[[ 29 122], [ 45 117], [ 61 113], [ 89 110]]","[[ 29 122], [ 45 117], [ 61 113], [ 89 110]]",61.4157,"[[4, 4, 4]]",790
"[(0.0952, 9)]",0.1633,"[[ 36 155], [ 38 152], [ 45 145], [ 49 137], [ 50 133], [ 56 113], [ 58 109], [ 62 100], [68 77], [79 58], [97 62], [106  73], [99 77]]","[[ 36 155], [ 38 152], [ 45 145], [ 49 137], [ 50 133], [ 56 113], [ 58 109], [ 62 100], [68 77], [79 58], [97 62], [106  73], [99 77]]",148.2123,"[[8, 5, 4, 4, 4, 3, 3, 3, 5]]",790
"[(0.3077, 3), (0.2222, 2)]",0.3529,"[[129 105], [120 118], [109 132], [ 84 143], [ 70 158]]","[[129 105], [120 118], [109 132], [ 84 143], [ 70 158]]",81.4472,"[[6, 5, 4], [6, 4]]",790
[],0.0,"[[54 85], [ 60 107], [ 62 111]]","[[54 85], [ 60 107], [ 62 111]]",27.2756,[],790
[],0.0,"[[ 66 125], [ 50 133]]","[[ 66 125], [ 50 133]]",17.8885,[],790
[],0.2,"[[59 81], [82 87]]","[[59 81], [82 87]]",23.7697,[],790
"[(0.6923, 3), (0.1111, 2)]",0.619,"[[178  78], [174  82], [168  92], [160 118], [158 124], [154 132]]","[[178  78], [174  82], [168  92], [160 118], [158 124], [154 132]]",59.7905,"[[1, 3, 6], [5, 5]]",790
[],0.0,"[[67 32], [70 31]]","[[67 32], [70 31]]",3.1623,[],790
"[(0.5714, 5), (0.0952, 5)]",0.5714,"[[72 83], [ 73 100], [ 78 109], [ 91 115], [100 119], [130 108]]","[[72 83], [ 73 100], [ 78 109], [ 91 115], [100 119], [130 108]]",83.4448,"[[6, 5, 4, 1, 8], [1, 2, 0, 8, 0]]",790
[],0.0,"[[ 41 118], [ 43 105], [49 85], [53 66], [65 49], [71 29]]","[[ 41 118], [ 43 105], [49 85], [53 66], [65 49], [71 29]]",95.1393,[],790
[],0.0,"[[ 56 155], [ 61 140], [ 64 126], [ 69 103], [68 77]]","[[ 56 155], [ 61 140], [ 64 126], [ 69 103], [68 77]]",79.6856,[],790
[],0.0,"[[45 95], [ 56 113], [ 64 126], [ 69 148]]","[[45 95], [ 56 113], [ 64 126], [ 69 148]]",58.9204,[],790
[],0.0,"[[103  53], [113  65], [134  76]]","[[103  53], [113  65], [134  76]]",39.327,[],790
"[(0.381, 6), (0.1538, 3), (0.0952, 7)]",0.4138,"[[ 84 138], [ 82 133], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [103  53]]","[[ 84 138], [ 82 133], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [103  53]]",107.188,"[[5, 5, 2, 3, 6, 5], [3, 4, 5], [3, 3, 6, 4, 1, 8, 3]]",790
"[(0.2222, 2)]",0.2222,"[[105 173], [102 174], [ 84 165]]","[[105 173], [102 174], [ 84 165]]",23.2869,"[[3, 5]]",790
[],0.0,"[[ 69 148], [ 79 139], [ 86 131], [ 98 119]]","[[ 69 148], [ 79 139], [ 86 131], [ 98 119]]",41.0543,[],790
[],0.0,"[[ 61 143], [ 67 134], [ 77 118]]","[[ 61 143], [ 67 134], [ 77 118]]",29.6846,[],790
"[(0.4, 1)]",0.4828,"[[119  75], [91 62], [79 58], [71 75], [66 81], [62 93], [ 56 113], [ 41 129]]","[[119  75], [91 62], [79 58], [71 75], [66 81], [62 93], [ 56 113], [ 41 129]]",125.5798,[[4]],790
"[(0.2353, 4)]",0.2353,"[[54 85], [57 77], [72 56], [87 35], [105  18]]","[[54 85], [57 77], [72 56], [87 35], [105  18]]",84.9168,"[[0, 4, 4, 5]]",790
[],0.0,"[[ 29 134], [ 49 137], [ 61 140]]","[[ 29 134], [ 49 137], [ 61 140]]",32.5931,[],790
"[(0.1538, 3)]",0.32,"[[53 66], [57 77], [59 81], [ 73 100], [ 78 109], [ 91 115], [120 118]]","[[53 66], [57 77], [59 81], [ 73 100], [ 78 109], [ 91 115], [120 118]]",93.5459,"[[5, 4, 3]]",790
"[(0.5556, 2), (0.2308, 3), (0.2308, 3)]",0.6923,"[[120 118], [125  89], [122  65], [104  55]]","[[120 118], [125  89], [122  65], [104  55]]",74.2059,"[[7, 4], [2, 7, 6], [2, 5, 1]]",790
"[(0.3333, 2)]",0.44,"[[136  94], [117 115], [100 119], [ 70 125], [ 50 130], [ 29 134], [ 28 135]]","[[136  94], [117 115], [100 119], [ 70 125], [ 50 130], [ 29 134], [ 28 135]]",119.7853,"[[4, 5]]",790
"[(0.2, 1)]",0.4483,"[[82 87], [ 62 100], [ 58 109], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 41 150]]","[[82 87], [ 62 100], [ 58 109], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 41 150]]",78.5258,[[4]],790
"[(0.1538, 3)]",0.2353,"[[89 36], [86 45], [79 58], [73 77], [77 80]]","[[89 36], [86 45], [79 58], [73 77], [77 80]]",49.1765,"[[2, 4, 3]]",790
"[(0.0, 2)]",0.0,"[[49 85], [59 93], [ 73 100]]","[[49 85], [59 93], [ 73 100]]",28.4587,"[[4, 4]]",790
[],0.0,"[[ 49 119], [ 64 120]]","[[ 49 119], [ 64 120]]",15.0333,[],790
[],0.0,"[[ 38 152], [ 41 129]]","[[ 38 152], [ 41 129]]",23.1948,[],790
"[(0.4444, 2), (0.0, 2)]",0.4444,"[[96 21], [90 33], [91 62]]","[[96 21], [90 33], [91 62]]",42.4336,"[[6, 3], [6, 1]]",790
"[(0.2, 1)]",0.4545,"[[114  70], [97 62], [79 58], [71 75], [66 81], [62 93], [ 47 109], [ 41 118], [ 32 141]]","[[114  70], [97 62], [79 58], [71 75], [66 81], [62 93], [ 47 109], [ 41 118], [ 32 141]]",133.9216,[[4]],790
[],0.0,"[[ 57 136], [ 50 133], [ 41 129]]","[[ 57 136], [ 50 133], [ 41 129]]",17.4646,[],790
[],0.0,"[[36 88], [38 92], [ 58 109]]","[[36 88], [38 92], [ 58 109]]",30.7209,[],790
[],0.0,"[[ 84 149], [ 82 133], [ 78 109]]","[[ 84 149], [ 82 133], [ 78 109]]",40.4556,[],790
"[(0.4, 1), (0.4444, 2)]",0.4444,"[[160 118], [168  92], [176  74]]","[[160 118], [168  92], [176  74]]",46.9007,"[[4], [4, 2]]",790
"[(0.4, 1), (0.1538, 3), (0.0588, 4)]",1.0,"[[115 129], [129 105], [132  90], [119  75], [96 53], [88 40], [85 25], [85  2]]","[[115 129], [129 105], [132  90], [119  75], [96 53], [88 40], [85 25], [85  2]]",148.3204,"[[1], [3, 5, 3], [7, 2, 8, 5]]",790
"[(0.4, 1), (0.3333, 7), (0.0588, 4)]",0.5152,"[[ 83 121], [ 73 100], [72 83], [73 77], [79 58], [86 45], [90 33], [105  18], [113  20]]","[[ 83 121], [ 73 100], [72 83], [73 77], [79 58], [86 45], [90 33], [105  18], [113  20]]",123.1698,"[[6], [5, 7, 2, 4, 6, 5, 6], [5, 4, 6, 0]]",790
[],0.0,"[[ 41 118], [ 39 110], [39 98]]","[[ 41 118], [ 39 110], [39 98]]",20.2462,[],790
"[(0.4, 1)]",0.4615,"[[80 82], [ 69 103], [ 62 111], [ 45 126]]","[[80 82], [ 69 103], [ 62 111], [ 45 126]]",57.0083,[[3]],790
"[(0.6923, 3), (0.1429, 7), (0.4, 1)]",0.5758,"[[178  56], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [127 176]]","[[178  56], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [127 176]]",132.0,"[[3, 6, 2], [7, 0, 0, 4, 6, 2, 0], [5]]",790
[],0.0,"[[124  97], [129 105]]","[[124  97], [129 105]]",9.434,[],790
