rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.1111, 2)]",0.36,"[[86 60], [79 58], [73 77], [72 83], [ 69 103], [ 64 120], [ 63 144]]","[[86 60], [79 58], [73 77], [72 83], [ 69 103], [ 64 120], [ 63 144]]",95.2523,"[[6, 4]]",790
[],0.0,"[[69 83], [82 87]]","[[69 83], [82 87]]",13.6015,[],790
[],0.0,"[[ 50 133], [ 49 119]]","[[ 50 133], [ 49 119]]",14.0357,[],790
"[(0.3077, 3)]",0.3077,"[[ 69 103], [ 77 118], [ 79 139], [ 90 164]]","[[ 69 103], [ 77 118], [ 79 139], [ 90 164]]",65.408,"[[2, 3, 3]]",790
"[(0.1905, 5), (0.1176, 4)]",0.1905,"[[ 37 108], [ 56 113], [ 77 118], [ 89 121], [117 115], [124  89]]","[[ 37 108], [ 56 113], [ 77 118], [ 89 121], [117 115], [124  89]]",109.1647,"[[3, 0, 2, 5, 4], [6, 4, 0, 4]]",790
[],0.381,"[[85  2], [82  8], [71 29], [63 47], [57 59], [57 77]]","[[85  2], [82  8], [71 29], [63 47], [57 59], [57 77]]",81.5289,[],790
"[(0.8095, 6), (0.4, 1), (0.1429, 10), (0.1176, 4)]",0.6735,"[[139  33], [155  44], [167  54], [170  59], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [132 164], [109 177]]","[[139  33], [155  44], [167  54], [170  59], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [132 164], [109 177]]",183.8027,"[[3, 5, 6, 2, 2, 5], [5], [3, 8, 3, 8, 5, 6, 6, 2, 6, 1], [0, 4, 2, 6]]",790
"[(0.2857, 7), (0.4762, 6), (0.4444, 2), (0.0952, 9)]",0.4865,"[[132 164], [140 160], [152 134], [154 132], [158 124], [160 118], [168  92], [171  85], [170  62], [155  44]]","[[132 164], [140 160], [152 134], [154 132], [158 124], [160 118], [168  92], [171  85], [170  62], [155  44]]",136.9484,"[[1, 0, 6, 4, 6, 7, 4], [4, 5, 5, 3, 0, 4], [1, 4], [6, 5, 4, 0, 4, 4, 3, 4, 4]]",790
"[(0.4, 1)]",0.4706,"[[72 83], [ 73 100], [ 77 118], [ 81 128], [ 84 143]]","[[72 83], [ 73 100], [ 77 118], [ 81 128], [ 84 143]]",61.5359,[[3]],790
[],0.0,"[[170  62], [176  74], [179  79]]","[[170  62], [176  74], [179  79]]",19.2474,[],790
"[(0.4, 1)]",0.4615,"[[165  96], [174  82], [179  79], [183  77]]","[[165  96], [174  82], [179  79], [183  77]]",26.9464,[[3]],790
[],0.0,"[[64 85], [62 89], [ 62 111]]","[[64 85], [62 89], [ 62 111]]",26.4721,[],790
[],0.0,"[[ 82 151], [ 78 155]]","[[ 82 151], [ 78 155]]",5.6569,[],790
[],0.0,"[[ 38 152], [ 42 126], [ 47 113], [50 91], [57 77], [57 59]]","[[ 38 152], [ 42 126], [ 47 113], [50 91], [57 77], [57 59]]",96.0904,[],790
[],0.0,"[[59 81], [59 93], [ 56 113], [ 50 133], [ 46 146]]","[[59 81], [59 93], [ 56 113], [ 50 133], [ 46 146]]",66.7058,[],790
[],0.0,"[[ 72 130], [ 78 155]]","[[ 72 130], [ 78 155]]",25.7099,[],790
"[(0.2, 1)]",0.44,"[[133 166], [105 173], [102 174], [ 84 165], [ 69 148], [ 57 136], [ 45 117]]","[[133 166], [105 173], [102 174], [ 84 165], [ 69 148], [ 57 136], [ 45 117]]",114.263,[[5]],790
[],0.0,"[[ 69 148], [ 61 143], [ 50 133], [ 41 129], [ 29 122], [ 25 118]]","[[ 69 148], [ 61 143], [ 50 133], [ 41 129], [ 29 122], [ 25 118]]",53.6982,[],790
"[(0.7778, 2), (0.1176, 4)]",0.6,"[[116  65], [122  65], [124  89], [117 115], [100 119], [ 86 131], [ 79 139]]","[[116  65], [122  65], [124  89], [117 115], [100 119], [ 86 131], [ 79 139]]",103.5425,"[[6, 5], [2, 5, 4, 1]]",790
"[(0.2222, 2)]",0.381,"[[71 69], [68 77], [ 73 100], [ 77 118], [ 81 128], [ 84 143]]","[[71 69], [68 77], [ 73 100], [ 77 118], [ 81 128], [ 84 143]]",76.5877,"[[3, 4]]",790
"[(0.3333, 2)]",0.4286,"[[124  97], [111 119], [ 91 115], [ 78 109], [ 69 103], [ 62 100]]","[[124  97], [111 119], [ 91 115], [ 78 109], [ 69 103], [ 62 100]]",78.7002,"[[3, 5]]",790
"[(0.2, 1), (0.1765, 4)]",0.4118,"[[113  67], [130  82], [125  89], [117 115], [ 89 121]]","[[113  67], [130  82], [125  89], [117 115], [ 89 121]]",87.1125,"[[5], [8, 7, 4, 5]]",790
"[(0.1111, 2)]",0.3333,"[[134  76], [124  97], [111 119], [ 90 123], [ 64 126], [ 42 126]]","[[134  76], [124  97], [111 119], [ 90 123], [ 64 126], [ 42 126]]",118.3633,"[[2, 0]]",790
"[(0.2222, 2)]",0.3077,"[[124  97], [117 115], [100 119], [ 77 118]]","[[124  97], [117 115], [100 119], [ 77 118]]",59.7992,"[[4, 0]]",790
[],0.0,"[[49 63], [45 88], [ 47 109], [ 50 130]]","[[49 63], [45 88], [ 47 109], [ 50 130]]",67.6262,[],790
[],0.0,"[[ 65 113], [62 89]]","[[ 65 113], [62 89]]",24.1868,[],790
"[(0.0588, 4)]",0.2414,"[[96 21], [90 33], [86 45], [79 58], [71 75], [66 81], [62 93], [ 61 113]]","[[96 21], [90 33], [86 45], [79 58], [71 75], [66 81], [62 93], [ 61 113]]",100.103,"[[6, 4, 3, 4]]",790
"[(0.0769, 3), (0.0588, 4)]",0.2353,"[[ 50 133], [ 72 130], [ 89 125], [111 119], [129 105]]","[[ 50 133], [ 72 130], [ 89 125], [111 119], [129 105]]",85.5307,"[[3, 1, 4], [6, 4, 7, 5]]",790
[],0.0,"[[120 118], [ 90 123], [ 64 120]]","[[120 118], [ 90 123], [ 64 120]]",56.5863,[],790
[],0.0,"[[74 38], [72 56], [67 72], [62 89], [ 62 111], [ 67 134]]","[[74 38], [72 56], [67 72], [62 89], [ 62 111], [ 67 134]]",98.1311,[],790
"[(0.4762, 6), (0.4444, 2), (0.1429, 7)]",0.4865,"[[127 176], [140 160], [152 134], [154 132], [158 124], [160 118], [168  92], [171  85], [172  73], [172  54]]","[[127 176], [140 160], [152 134], [154 132], [158 124], [160 118], [168  92], [171  85], [172  73], [172  54]]",133.2087,"[[5, 2, 5, 4, 6, 4], [3, 2], [4, 6, 4, 5, 1, 2, 4]]",790
"[(0.2, 1)]",0.2,"[[100 119], [115 129]]","[[100 119], [115 129]]",18.0278,[[6]],790
[],0.0,"[[ 82 151], [ 61 149], [ 36 155]]","[[ 82 151], [ 61 149], [ 36 155]]",46.8049,[],790
"[(0.2222, 2), (0.1429, 6)]",0.4,"[[ 82 133], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [86 60]]","[[ 82 133], [ 77 118], [ 73 100], [72 83], [73 77], [79 58], [86 60]]",84.5676,"[[7, 5], [3, 4, 0, 7, 4, 0]]",790
[],0.0,"[[ 49 119], [ 64 120], [ 89 125]]","[[ 49 119], [ 64 120], [ 89 125]]",40.5284,[],790
"[(0.0769, 3)]",0.0769,"[[ 29 134], [ 50 130], [ 66 125], [ 98 119]]","[[ 29 134], [ 50 130], [ 66 125], [ 98 119]]",70.6983,"[[0, 3, 4]]",790
[],0.0,"[[ 69 148], [ 82 133], [ 89 121]]","[[ 69 148], [ 82 133], [ 89 121]]",33.7419,[],790
"[(0.1111, 2), (0.0952, 5)]",0.3333,"[[ 67 134], [ 89 125], [111 119], [124  97], [132  90], [114  70]]","[[ 67 134], [ 89 125], [111 119], [124  97], [132  90], [114  70]]",109.6645,"[[6, 4], [5, 2, 5, 7, 4]]",790
[],0.0,"[[ 69 148], [ 64 149], [ 38 152]]","[[ 69 148], [ 64 149], [ 38 152]]",31.2715,[],790
"[(0.3333, 5), (0.1111, 2)]",0.36,"[[104  55], [96 58], [79 58], [73 77], [72 83], [ 73 100], [ 83 121]]","[[104  55], [96 58], [79 58], [73 77], [72 83], [ 73 100], [ 83 121]]",91.8404,"[[7, 5, 5, 1, 4], [4, 4]]",790
"[(0.3333, 5), (0.1111, 2)]",0.3333,"[[ 81 128], [ 89 125], [111 119], [124  97], [132  90], [119  75]]","[[ 81 128], [ 89 125], [111 119], [124  97], [132  90], [119  75]]",87.381,"[[3, 5, 4, 2, 4], [8, 4]]",790
"[(0.4444, 2), (0.4286, 6), (0.1429, 7)]",0.4878,"[[129 172], [140 160], [152 134], [154 132], [158 124], [160 118], [168  92], [171  85], [178  78], [181  72], [185  63]]","[[129 172], [140 160], [152 134], [154 132], [158 124], [160 118], [168  92], [171  85], [178  78], [181  72], [185  63]]",124.287,"[[0, 4], [5, 3, 6, 5, 3, 7], [4, 4, 2, 4, 4, 0, 4]]",790
"[(0.1111, 2)]",0.4054,"[[81 49], [79 58], [71 75], [66 81], [62 93], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 41 150]]","[[81 49], [79 58], [71 75], [66 81], [62 93], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 41 150]]",109.6989,"[[1, 4]]",790
[],0.0,"[[38 92], [45 95], [ 62 100], [ 69 103], [ 78 109], [ 91 115]]","[[38 92], [45 95], [ 62 100], [ 69 103], [ 78 109], [ 91 115]]",58.0861,[],790
"[(0.2, 1), (0.0769, 3)]",0.5385,"[[ 65 113], [ 98 119], [117 115], [134  91]]","[[ 65 113], [ 98 119], [117 115], [134  91]]",82.3684,"[[4], [1, 2, 0]]",790
"[(0.2381, 8)]",0.2444,"[[ 85 171], [ 82 166], [ 78 155], [ 72 130], [ 70 125], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40], [91 17]]","[[ 85 171], [ 82 166], [ 78 155], [ 72 130], [ 70 125], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40], [91 17]]",160.2296,"[[6, 3, 8, 7, 3, 1, 5, 6]]",790
[],0.0,"[[73 77], [57 88], [45 95], [ 36 108]]","[[73 77], [57 88], [45 95], [ 36 108]]",49.1203,[],790
"[(0.2308, 3)]",0.2941,"[[158 124], [154 132], [152 134], [140 160], [129 172]]","[[158 124], [154 132], [152 134], [140 160], [129 172]]",56.6872,"[[7, 5, 2]]",790
[],0.0,"[[ 58 109], [62 93], [66 81], [72 56], [74 38], [80 24], [86  4]]","[[ 58 109], [62 93], [66 81], [72 56], [74 38], [80 24], [86  4]]",109.0744,[],790
"[(0.2, 1), (0.3529, 4)]",0.4286,"[[130  82], [119  75], [91 62], [79 58], [73 77], [77 80]]","[[130  82], [119  75], [91 62], [79 58], [73 77], [77 80]]",81.4831,"[[4], [2, 5, 6, 4]]",790
"[(0.4, 1)]",0.4706,"[[80 84], [ 69 103], [ 65 113], [ 67 134], [ 70 158]]","[[80 84], [ 69 103], [ 65 113], [ 67 134], [ 70 158]]",78.0066,[[4]],790
[],0.0,"[[ 50 121], [ 41 129]]","[[ 50 121], [ 41 129]]",12.0416,[],790
"[(0.1111, 2), (0.0476, 5)]",0.3333,"[[64 85], [68 77], [79 58], [86 45], [88 40], [96 21]]","[[64 85], [68 77], [79 58], [86 45], [88 40], [96 21]]",71.6643,"[[5, 5], [4, 5, 2, 6, 0]]",790
[],0.0,"[[ 82 133], [ 77 118], [ 69 103], [62 89], [59 81], [57 77]]","[[ 82 133], [ 77 118], [ 69 103], [62 89], [59 81], [57 77]]",61.48,[],790
[],0.0,"[[ 78 155], [ 61 140], [ 50 121], [ 47 113], [ 43 105], [37 98]]","[[ 78 155], [ 61 140], [ 50 121], [ 47 113], [ 43 105], [37 98]]",71.3339,[],790
[],0.0,"[[ 32 141], [ 37 144], [ 54 148], [ 84 149]]","[[ 32 141], [ 37 144], [ 54 148], [ 84 149]]",53.3119,[],790
"[(0.1111, 2)]",0.1111,"[[181  58], [178  65], [174  82]]","[[181  58], [178  65], [174  82]]",25.08,"[[5, 5]]",790
"[(0.0769, 3), (0.0, 6)]",0.28,"[[ 61 140], [ 67 134], [ 89 125], [111 119], [124  97], [130  82], [113  67]]","[[ 61 140], [ 67 134], [ 89 125], [111 119], [124  97], [130  82], [113  67]]",119.4394,"[[3, 3, 4], [8, 7, 4, 1, 4, 4]]",790
[],0.0,"[[ 73 100], [ 62 100], [45 95], [38 92]]","[[ 73 100], [ 62 100], [45 95], [38 92]]",36.3358,[],790
"[(0.3333, 2)]",0.3846,"[[129 104], [117 115], [100 119], [ 82 133]]","[[129 104], [117 115], [100 119], [ 82 133]]",56.5466,"[[1, 1]]",790
"[(0.4444, 2), (0.1765, 4)]",0.6471,"[[105  59], [114  70], [132  90], [129 104], [125 121]]","[[105  59], [114  70], [132  90], [129 104], [125 121]]",72.902,"[[4, 5], [4, 3, 0, 3]]",790
[],0.0,"[[ 65 153], [ 63 144], [ 64 126]]","[[ 65 153], [ 63 144], [ 64 126]]",27.2473,[],790
"[(0.3333, 6), (0.1765, 4)]",0.3333,"[[87  6], [82 14], [79 38], [79 58], [73 77], [72 83], [ 73 100], [ 78 109], [ 89 125]]","[[87  6], [82 14], [79 38], [79 58], [73 77], [72 83], [ 73 100], [ 78 109], [ 89 125]]",126.3699,"[[3, 5, 5, 3, 2, 4], [7, 0, 3, 4]]",790
[],0.0,"[[45 88], [54 85], [64 85], [77 80]]","[[45 88], [54 85], [64 85], [77 80]]",33.4152,[],790
"[(0.1111, 2)]",0.3793,"[[86 60], [79 58], [73 77], [72 83], [ 69 103], [ 70 125], [ 72 130], [ 78 155]]","[[86 60], [79 58], [73 77], [72 83], [ 69 103], [ 70 125], [ 72 130], [ 78 155]]",106.6293,"[[5, 4]]",790
"[(0.3846, 3), (0.2222, 2), (0.0769, 3)]",0.3846,"[[57 59], [72 56], [86 60], [116  65]]","[[57 59], [72 56], [86 60], [116  65]]",60.2711,"[[6, 7, 4], [3, 5], [5, 3, 4]]",790
"[(0.4444, 2), (0.2222, 2), (0.0588, 4)]",0.5294,"[[ 82 166], [ 84 143], [109 132], [117 115], [125  89]]","[[ 82 166], [ 84 143], [109 132], [117 115], [125  89]]",96.391,"[[3, 5], [4, 6], [4, 5, 4, 4]]",790
"[(0.4444, 2)]",0.4706,"[[113  20], [105  18], [90 33], [88 40], [96 53]]","[[113  20], [105  18], [90 33], [88 40], [96 53]]",52.0039,"[[6, 8]]",790
"[(0.2308, 3)]",0.3939,"[[80 24], [79 38], [79 58], [73 77], [72 83], [ 69 103], [ 65 113], [ 67 134], [ 61 155]]","[[80 24], [79 38], [79 58], [73 77], [72 83], [ 69 103], [ 65 113], [ 67 134], [ 61 155]]",133.9727,"[[4, 4, 2]]",790
"[(0.3333, 5), (0.0476, 5)]",0.3333,"[[ 58 109], [ 62 100], [68 77], [79 58], [86 60], [116  66]]","[[ 58 109], [ 62 100], [68 77], [79 58], [86 60], [116  66]]",93.4473,"[[5, 5, 3, 5, 4], [5, 8, 5, 4, 4]]",790
"[(0.0588, 4)]",0.2,"[[ 46 146], [ 58 140], [ 67 134], [ 89 125], [111 119], [124  97], [125  89]]","[[ 46 146], [ 58 140], [ 67 134], [ 89 125], [111 119], [124  97], [125  89]]",104.4224,"[[3, 6, 4, 4]]",790
[],0.0,"[[ 37 144], [ 45 126], [ 50 121], [ 65 108]]","[[ 37 144], [ 45 126], [ 50 121], [ 65 108]]",46.6182,[],790
[],0.0,"[[70 31], [65 49], [67 72], [65 86]]","[[70 31], [65 49], [67 72], [65 86]]",55.9105,[],790
[],0.0,"[[90 33], [87 35], [68 46]]","[[90 33], [87 35], [68 46]]",25.56,[],790
[],0.0,"[[137 179], [132 164]]","[[137 179], [132 164]]",15.8114,[],790
"[(0.3333, 2), (0.0476, 5)]",0.4483,"[[109 132], [ 89 121], [ 73 100], [72 83], [73 77], [79 58], [86 45], [88 40]]","[[109 132], [ 89 121], [ 73 100], [72 83], [73 77], [79 58], [86 45], [88 40]]",112.4132,"[[2, 6], [8, 3, 1, 2, 5]]",790
"[(0.0769, 3)]",0.0769,"[[68 46], [72 56], [68 77], [ 69 103]]","[[68 46], [72 56], [68 77], [ 69 103]]",58.1671,"[[3, 4, 4]]",790
[],0.0,"[[ 37 144], [ 41 129], [ 39 110], [39 98]]","[[ 37 144], [ 41 129], [ 39 110], [39 98]]",46.6291,[],790
[],0.0,"[[44 85], [59 81], [73 77]]","[[44 85], [59 81], [73 77]]",30.0844,[],790
"[(0.0588, 4)]",0.2,"[[ 45 126], [ 58 109], [ 62 100], [68 77], [79 58], [86 60], [105  59]]","[[ 45 126], [ 58 109], [ 62 100], [68 77], [79 58], [86 60], [105  59]]",103.2804,"[[8, 2, 6, 5]]",790
"[(0.4118, 4), (0.3333, 2)]",0.4595,"[[91  9], [90 33], [86 45], [79 58], [73 77], [72 83], [ 69 103], [ 65 113], [ 60 136], [ 56 155]]","[[91  9], [90 33], [86 45], [79 58], [73 77], [72 83], [ 69 103], [ 65 113], [ 60 136], [ 56 155]]",151.3901,"[[6, 6, 3, 3], [4, 4]]",790
[],0.0,"[[39 98], [ 47 102], [ 64 120], [ 72 130]]","[[39 98], [ 47 102], [ 64 120], [ 72 130]]",46.5094,[],790
[],0.0,"[[111 119], [ 98 119], [ 65 113], [ 62 112]]","[[111 119], [ 98 119], [ 65 113], [ 62 112]]",49.7033,[],790
"[(0.2, 1)]",0.4634,"[[116  65], [97 62], [79 58], [71 75], [66 81], [62 93], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 35 153]]","[[116  65], [97 62], [79 58], [71 75], [66 81], [62 93], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 35 153]]",144.557,[[4]],790
"[(0.3333, 2), (0.2, 1)]",0.44,"[[134  76], [114  70], [97 62], [79 58], [71 69], [59 81], [ 47 102]]","[[134  76], [114  70], [97 62], [79 58], [71 69], [59 81], [ 47 102]]",112.8668,"[[5, 4], [4]]",790
[],0.0,"[[ 78 109], [ 83 121]]","[[ 78 109], [ 83 121]]",13.0,[],790
[],0.0,"[[72 83], [62 89], [ 43 105]]","[[72 83], [62 89], [ 43 105]]",36.5014,[],790
[],0.0,"[[69 83], [68 77]]","[[69 83], [68 77]]",6.0828,[],790
[],0.0,"[[ 61 149], [ 57 136], [ 61 113], [62 93], [57 77]]","[[ 61 149], [ 57 136], [ 61 113], [62 93], [57 77]]",73.7347,[],790
"[(0.381, 7), (0.2941, 4)]",0.3793,"[[91 17], [90 33], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 85 115]]","[[91 17], [90 33], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 85 115]]",105.6915,"[[5, 4, 3, 1, 4, 2, 4], [0, 5, 8, 4]]",790
[],0.0,"[[49 63], [59 81], [62 89], [ 69 103], [ 77 118], [ 81 128]]","[[49 63], [59 81], [62 89], [ 69 103], [ 77 118], [ 81 128]]",72.5581,[],790
[],0.0,"[[ 47 109], [ 47 102], [49 85], [53 66], [65 49], [70 31]]","[[ 47 109], [ 47 102], [49 85], [53 66], [65 49], [70 31]]",83.0239,[],790
"[(0.2222, 2), (0.0476, 5)]",0.4138,"[[ 89 110], [ 78 109], [ 73 100], [72 83], [73 77], [79 58], [81 49], [87 35]]","[[ 89 110], [ 78 109], [ 73 100], [72 83], [73 77], [79 58], [81 49], [87 35]]",88.8291,"[[0, 6], [8, 3, 4, 8, 5]]",790
[],0.0,"[[45 88], [50 91], [62 89]]","[[45 88], [50 91], [62 89]]",17.9965,[],790
"[(0.2, 1)]",0.3333,"[[84 87], [73 77], [53 66]]","[[84 87], [73 77], [53 66]]",37.6915,[[5]],790
"[(0.1765, 4)]",0.3514,"[[87  6], [82 14], [79 38], [79 58], [73 77], [72 83], [ 69 103], [ 65 113], [ 67 134], [ 65 153]]","[[87  6], [82 14], [79 38], [79 58], [73 77], [72 83], [ 69 103], [ 65 113], [ 67 134], [ 65 153]]",150.8225,"[[6, 8, 3, 4]]",790
[],0.0,"[[ 44 157], [ 54 148], [ 61 143], [ 67 134], [ 89 121]]","[[ 44 157], [ 54 148], [ 61 143], [ 67 134], [ 89 121]]",58.4265,[],790
[],0.0,"[[48 70], [45 75], [39 98], [ 36 108], [ 29 122]]","[[48 70], [45 75], [39 98], [ 36 108], [ 29 122]]",55.6935,[],790
"[(0.2941, 4)]",0.36,"[[ 64 126], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40]]","[[ 64 126], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40]]",89.9186,"[[8, 5, 0, 5]]",790
[],0.0,"[[63 47], [67 72], [62 89], [ 62 111], [ 67 134], [ 70 158]]","[[63 47], [67 72], [62 89], [ 62 111], [ 67 134], [ 70 158]]",112.762,[],790
"[(0.3846, 3), (0.2, 1), (0.2222, 2)]",0.3846,"[[136  94], [120 118], [109 132], [ 84 143]]","[[136  94], [120 118], [109 132], [ 84 143]]",73.9619,"[[6, 3, 2], [4], [2, 4]]",790
"[(0.1538, 3), (0.1176, 4)]",0.3529,"[[ 65 108], [ 85 115], [ 98 119], [117 115], [136  94]]","[[ 65 108], [ 85 115], [ 98 119], [117 115], [136  94]]",82.5272,"[[1, 5, 4], [7, 4, 4, 6]]",790
[],0.0,"[[ 85 115], [ 84 138]]","[[ 85 115], [ 84 138]]",23.0217,[],790
[],0.0,"[[88 40], [81 49]]","[[88 40], [81 49]]",11.4018,[],790
[],0.0,"[[ 82 133], [ 72 130], [ 64 126], [ 50 121], [ 29 122]]","[[ 82 133], [ 72 130], [ 64 126], [ 50 121], [ 29 122]]",55.2744,[],790
[],0.0,"[[91  9], [85 25], [79 38], [72 56], [67 72], [64 77], [55 87], [ 47 109], [ 41 118], [ 32 141]]","[[91  9], [85 25], [79 38], [72 56], [67 72], [64 77], [55 87], [ 47 109], [ 41 118], [ 32 141]]",145.6909,[],790
"[(0.4444, 2), (0.2308, 3)]",0.4762,"[[136 173], [140 160], [152 134], [154 132], [158 124], [164 119]]","[[136 173], [140 160], [152 134], [154 132], [158 124], [164 119]]",61.8201,"[[1, 4], [3, 4, 6]]",790
"[(0.4, 1)]",0.5385,"[[164  93], [171  85], [172  73], [165  47]]","[[164  93], [171  85], [172  73], [165  47]]",49.5976,[[3]],790
[],0.0,"[[ 50 130], [ 50 133], [ 44 157]]","[[ 50 130], [ 50 133], [ 44 157]]",27.7386,[],790
[],0.0,"[[ 49 119], [ 42 126]]","[[ 49 119], [ 42 126]]",9.8995,[],790
"[(0.2, 1)]",0.44,"[[77 80], [ 69 103], [ 61 113], [ 50 133], [ 49 137], [ 45 145], [ 38 152]]","[[77 80], [ 69 103], [ 61 113], [ 50 133], [ 49 137], [ 45 145], [ 38 152]]",82.9501,[[4]],790
[],0.0,"[[ 65 153], [ 61 143], [ 50 121], [ 47 113], [45 95]]","[[ 65 153], [ 61 143], [ 50 121], [ 47 113], [45 95]]",62.0219,[],790
[],0.0,"[[ 33 101], [ 43 105]]","[[ 33 101], [ 43 105]]",10.7703,[],790
[],0.0,"[[81 19], [79 38], [72 56], [67 72], [64 77], [55 87], [ 47 109], [ 41 129]]","[[81 19], [79 38], [72 56], [67 72], [64 77], [55 87], [ 47 109], [ 41 129]]",118.7558,[],790
"[(0.0476, 6), (0.0476, 6)]",0.04,"[[38 92], [45 95], [ 62 100], [ 69 103], [ 78 109], [ 91 115], [112 130]]","[[38 92], [45 95], [ 62 100], [ 69 103], [ 78 109], [ 91 115], [112 130]]",83.893,"[[7, 3, 3, 2, 8, 5], [4, 3, 4, 4, 5, 6]]",790
[],0.0,"[[ 56 113], [ 57 136]]","[[ 56 113], [ 57 136]]",23.0217,[],790
"[(0.3333, 8), (0.1538, 3), (0.0476, 5)]",0.3636,"[[ 61 140], [ 64 126], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40], [95 23]]","[[ 61 140], [ 64 126], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40], [95 23]]",122.6212,"[[8, 3, 4, 2, 2, 6, 1, 5], [5, 0, 5], [5, 1, 1, 0, 5]]",790
"[(0.2308, 3), (0.0952, 5)]",0.3793,"[[85 25], [79 38], [79 58], [73 77], [72 83], [ 73 100], [ 77 118], [ 82 133]]","[[85 25], [79 38], [79 58], [73 77], [72 83], [ 73 100], [ 77 118], [ 82 133]]",111.6053,"[[7, 8, 3], [6, 2, 4, 5, 8]]",790
"[(0.4762, 7), (0.0769, 3)]",0.3448,"[[45 75], [54 85], [62 93], [ 78 109], [ 91 115], [100 119], [117 115], [129 104]]","[[45 75], [54 85], [62 93], [ 78 109], [ 91 115], [100 119], [117 115], [129 104]]",105.3045,"[[4, 4, 1, 7, 4, 5, 5], [5, 4, 4]]",790
[],0.0,"[[49 85], [ 60 107], [ 72 130], [ 78 155], [ 84 165]]","[[49 85], [ 60 107], [ 72 130], [ 78 155], [ 84 165]]",87.9108,[],790
[],0.0,"[[171  85], [168  92]]","[[171  85], [168  92]]",7.6158,[],790
"[(0.4118, 4), (0.0952, 6), (0.3333, 2)]",0.4545,"[[91  9], [90 33], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 77 118], [ 81 128]]","[[91  9], [90 33], [86 45], [79 58], [73 77], [72 83], [ 73 100], [ 77 118], [ 81 128]]",123.6812,"[[5, 3, 0, 4], [6, 5, 5, 4, 8, 3], [4, 8]]",790
"[(0.4, 1), (0.0588, 4)]",0.68,"[[88 40], [96 53], [105  59], [113  67], [130  82], [125  89], [117 115]]","[[88 40], [96 53], [105  59], [113  67], [130  82], [125  89], [117 115]]",95.8715,"[[3], [4, 4, 2, 5]]",790
"[(0.1111, 2)]",0.2308,"[[57 77], [72 56], [87 35], [95 23]]","[[57 77], [72 56], [87 35], [95 23]]",66.0362,"[[0, 5]]",790
[],0.0,"[[ 57 136], [ 70 125], [ 77 118]]","[[ 57 136], [ 70 125], [ 77 118]]",26.9289,[],790
"[(0.2941, 4), (0.2308, 3)]",0.2941,"[[72 83], [73 77], [79 58], [91 62], [114  70]]","[[72 83], [73 77], [79 58], [91 62], [114  70]]",63.0083,"[[7, 2, 2, 5], [4, 2, 5]]",790
"[(0.2222, 2), (0.0588, 4)]",0.3529,"[[ 82 133], [ 77 118], [ 73 100], [72 83], [72 56]]","[[ 82 133], [ 77 118], [ 73 100], [72 83], [72 56]]",78.2799,"[[5, 5], [1, 4, 5, 5]]",790
"[(0.0476, 5), (0.0, 3)]",0.1724,"[[ 57 136], [ 64 120], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40]]","[[ 57 136], [ 64 120], [ 69 103], [72 83], [73 77], [79 58], [86 45], [88 40]]",101.5657,"[[6, 3, 4, 5, 1], [3, 5, 5]]",790
"[(0.4444, 2)]",0.4615,"[[67 32], [72 56], [77 80], [80 82]]","[[67 32], [72 56], [77 80], [80 82]]",52.6362,"[[7, 3]]",790
"[(0.2857, 5), (0.1176, 4), (0.0476, 5)]",0.2857,"[[54 85], [64 77], [67 72], [79 58], [91 62], [122  65]]","[[54 85], [64 77], [67 72], [79 58], [91 62], [122  65]]",80.8702,"[[5, 4, 6, 7, 8], [5, 0, 2, 0], [4, 2, 5, 8, 4]]",790
[],0.0,"[[ 58 109], [ 36 108]]","[[ 58 109], [ 36 108]]",22.0227,[],790
"[(0.2222, 2), (0.7647, 4), (0.1429, 8)]",0.6098,"[[167  54], [170  59], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [132 164], [109 177]]","[[167  54], [170  59], [171  85], [168  92], [160 118], [158 124], [154 132], [152 134], [140 160], [132 164], [109 177]]",148.7657,"[[7, 5], [5, 0, 4, 5], [0, 0, 3, 4, 1, 5, 3, 6]]",790
