Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision
"[[116 122], [123  69]]",116,122,123,69,2,53.4603,0,0.2109,0.3107
"[[38 67], [36 72], [27 96], [ 24 110], [ 14 131], [  9 140], [ 24 153], [ 32 163], [ 48 177], [ 67 182], [ 78 185], [116 191], [141 192], [153 169], [155 154], [116 122]]",38,67,116,122,16,318.8684,0,0.5927,0.3018
"[[38 67], [36 72], [27 96], [ 24 110], [ 14 131], [  9 140], [ 24 153], [ 32 163], [ 48 177], [ 67 182], [ 78 185], [116 191], [141 192], [153 169], [155 154], [116 122]]",38,67,116,122,16,318.8684,0,0.5927,0.3018
"[[38 67], [36 72], [27 96], [ 24 110], [ 14 131], [  9 140], [ 24 153], [ 32 163], [ 48 177], [ 67 182], [ 78 185], [116 191], [141 192], [153 169], [155 154], [116 122]]",38,67,116,122,16,318.8684,0,0.5927,0.3018
"[[38 67], [36 72], [27 96], [ 24 110], [ 14 131], [  9 140], [ 24 153], [ 32 163], [ 48 177], [ 67 182], [ 78 185], [116 191], [141 192], [153 169], [155 154], [116 122]]",38,67,116,122,16,318.8684,0,0.5927,0.3018
"[[38 67], [36 72], [27 96], [ 24 110], [ 14 131], [  9 140], [ 24 153], [ 32 163], [ 48 177], [ 67 182], [ 78 185], [116 191], [141 192], [153 169], [155 154], [116 122]]",38,67,116,122,16,318.8684,0,0.5927,0.3018
