rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.3333, 6), (0.3333, 3)]",0.28,"[[ 35 130], [ 44 133], [ 69 126], [ 96 120], [115 117], [124 104], [129  79]]","[[ 35 130], [ 44 133], [ 69 126], [ 96 120], [115 117], [124 104], [129  79]]",123.6488,"[[4, 4, 5, 6, 0, 4], [3, 3, 4]]",710
[],0.0,"[[ 46 147], [ 55 134], [ 64 125], [ 74 113], [ 77 106]]","[[ 46 147], [ 55 134], [ 64 125], [ 74 113], [ 77 106]]",51.7756,[],710
[],0.0,"[[53 96], [53 90], [57 71]]","[[53 96], [53 90], [57 71]]",25.4165,[],710
"[(0.4286, 4)]",0.44,"[[124 104], [115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]","[[124 104], [115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]",98.3798,"[[6, 6, 8, 5]]",710
"[(0.4444, 1)]",0.4444,"[[ 90 110], [ 77 106], [64 89]]","[[ 90 110], [ 77 106], [64 89]]",35.0024,[[5]],710
[],0.0,"[[188  66], [174  69]]","[[188  66], [174  69]]",14.3178,[],710
[],0.0,"[[56 78], [62 68], [65 59]]","[[56 78], [62 68], [65 59]]",21.1487,[],710
[],0.0,"[[ 69 126], [ 43 122], [ 29 122]]","[[ 69 126], [ 43 122], [ 29 122]]",40.3059,[],710
[],0.0,"[[146 162], [141 162]]","[[146 162], [141 162]]",5.0,[],710
"[(0.2381, 3)]",0.3103,"[[60 50], [62 68], [68 92], [ 72 104], [ 76 114], [ 78 117], [ 84 135], [ 86 137]]","[[60 50], [62 68], [68 92], [ 72 104], [ 76 114], [ 78 117], [ 84 135], [ 86 137]]",91.6765,"[[5, 8, 4]]",710
[],0.0,"[[112 173], [125 164]]","[[112 173], [125 164]]",15.8114,[],710
"[(0.1905, 6)]",0.2069,"[[ 91 141], [ 86 137], [ 84 135], [ 78 117], [ 76 114], [ 72 104], [76 89], [80 85]]","[[ 91 141], [ 86 137], [ 84 135], [ 78 117], [ 76 114], [ 72 104], [76 89], [80 85]]",63.7621,"[[1, 4, 3, 3, 1, 2]]",710
"[(0.3529, 3)]",0.3529,"[[ 64 106], [68 92], [70 71], [86 59], [94 56]]","[[ 64 106], [68 92], [70 71], [86 59], [94 56]]",64.1992,"[[2, 8, 6]]",710
"[(0.1538, 3), (0.0769, 3)]",0.1538,"[[112  67], [129  79], [123  87], [115 121]]","[[112  67], [129  79], [123  87], [115 121]]",65.7372,"[[4, 6, 1], [5, 5, 5]]",710
"[(0.4286, 1)]",0.4286,"[[115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]","[[115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 68]]",82.5684,[[5]],710
[],0.0,"[[ 42 138], [ 54 138]]","[[ 42 138], [ 54 138]]",12.0,[],710
[],0.0,"[[ 99 118], [ 80 112]]","[[ 99 118], [ 80 112]]",19.9249,[],710
[],0.0,"[[ 90 110], [ 89 113], [ 80 136]]","[[ 90 110], [ 89 113], [ 80 136]]",27.8605,[],710
"[(0.381, 7), (0.381, 2)]",0.3784,"[[104 129], [102 125], [ 96 120], [ 89 113], [ 77 106], [68 92], [74 78], [81 56], [92 23], [115  19]]","[[104 129], [102 125], [ 96 120], [ 89 113], [ 77 106], [68 92], [74 78], [81 56], [92 23], [115  19]]",149.1663,"[[2, 5, 4, 4, 5, 5, 3], [2, 5]]",710
[],0.0,"[[ 77 156], [ 82 148], [ 84 145]]","[[ 77 156], [ 82 148], [ 84 145]]",13.0395,[],710
"[(0.4762, 2), (0.1905, 4)]",0.48,"[[ 88 130], [ 78 114], [71 89], [74 78], [76 56], [81 41], [86  8]]","[[ 88 130], [ 78 114], [71 89], [74 78], [76 56], [81 41], [86  8]]",127.51,"[[3, 1], [5, 4, 5, 2]]",710
"[(0.1429, 4), (0.0, 5)]",0.1429,"[[ 42 120], [54 97], [60 87], [70 71], [81 56], [90 45]]","[[ 42 120], [54 97], [60 87], [70 71], [81 56], [90 45]]",89.2859,"[[4, 3, 5, 5], [3, 1, 3, 0, 6]]",710
"[(0.3333, 6)]",0.3103,"[[136  81], [126  70], [121  67], [104  57], [102  55], [93 50], [90 45], [87 17]]","[[136  81], [126  70], [121  67], [104  57], [102  55], [93 50], [90 45], [87 17]]",87.5354,"[[2, 2, 7, 5, 6, 5]]",710
[],0.0,"[[ 68 102], [ 69 126], [ 78 151]]","[[ 68 102], [ 69 126], [ 78 151]]",50.5915,[],710
"[(0.4286, 2), (0.4286, 1)]",0.4483,"[[123  87], [120  92], [115 117], [ 98 122], [ 83 126], [ 66 130], [ 55 134], [ 35 130]]","[[123  87], [120  92], [115 117], [ 98 122], [ 83 126], [ 66 130], [ 55 134], [ 35 130]]",114.1353,"[[3, 5], [5]]",710
"[(0.4762, 5), (0.1905, 5)]",0.4762,"[[ 55 127], [ 69 126], [ 96 120], [115 117], [128 102], [104  89]]","[[ 55 127], [ 69 126], [ 96 120], [115 117], [128 102], [104  89]]",108.0738,"[[5, 6, 3, 3, 4], [4, 6, 1, 7, 6]]",710
[],0.0,"[[ 80 112], [ 78 114], [ 56 122], [ 40 120]]","[[ 80 112], [ 78 114], [ 56 122], [ 40 120]]",42.3623,[],710
"[(0.1905, 4)]",0.2759,"[[94 56], [113  64], [121  67], [126  70], [123  87], [120  92], [115 106], [113 122]]","[[94 56], [113  64], [121  67], [126  70], [123  87], [120  92], [115 106], [113 122]]",89.0747,"[[2, 4, 2, 1]]",710
[],0.0,"[[ 40 137], [ 54 134], [ 66 130], [ 83 126], [ 89 123], [115 121]]","[[ 40 137], [ 54 134], [ 66 130], [ 83 126], [ 89 123], [115 121]]",77.2162,[],710
"[(0.2857, 3)]",0.2857,"[[ 99 120], [ 93 117], [ 89 113], [ 77 106], [68 92], [50 82]]","[[ 99 120], [ 93 117], [ 89 113], [ 77 106], [68 92], [50 82]]",63.4921,"[[2, 5, 0]]",710
"[(0.4762, 2), (0.2857, 4)]",0.4762,"[[ 80 112], [ 77 106], [68 92], [70 71], [86 59], [105  61]]","[[ 80 112], [ 77 106], [68 92], [70 71], [86 59], [105  61]]",83.5515,"[[5, 7], [7, 1, 7, 1]]",710
"[(0.2857, 5), (0.2857, 4)]",0.4828,"[[ 56 122], [ 64 106], [ 68 102], [74 78], [81 56], [92 23], [115  19], [143  38]]","[[ 56 122], [ 64 106], [ 68 102], [74 78], [81 56], [92 23], [115  19], [143  38]]",163.339,"[[6, 3, 2, 2, 5], [5, 4, 6, 3]]",710
"[(0.2222, 2)]",0.2222,"[[ 99 118], [ 92 113], [ 77 106]]","[[ 99 118], [ 92 113], [ 77 106]]",25.1553,"[[7, 5]]",710
[],0.0,"[[ 33 157], [ 38 141], [ 42 120], [54 97], [62 87]]","[[ 33 157], [ 38 141], [ 42 120], [54 97], [62 87]]",76.8891,[],710
[],0.0,"[[122 115], [102 125], [ 88 130]]","[[122 115], [102 125], [ 88 130]]",37.2267,[],710
"[(0.3333, 3)]",0.3333,"[[76 56], [70 71], [68 92], [ 77 106], [ 89 113], [ 93 117]]","[[76 56], [70 71], [68 92], [ 77 106], [ 89 113], [ 93 117]]",73.4431,"[[7, 1, 4]]",710
[],0.0,"[[ 46 147], [ 55 134], [ 58 124], [ 64 106], [68 92], [70 71], [71 64], [75 48], [81 33]]","[[ 46 147], [ 55 134], [ 58 124], [ 64 106], [68 92], [70 71], [71 64], [75 48], [81 33]]",120.5996,[],710
"[(0.4286, 4), (0.4286, 2)]",0.4286,"[[90 49], [81 56], [74 78], [71 89], [ 74 113], [ 78 133]]","[[90 49], [81 56], [74 78], [71 89], [ 74 113], [ 78 133]]",90.4732,"[[4, 0, 4, 8], [4, 4]]",710
"[(0.381, 2), (0.381, 3), (0.0952, 5)]",0.381,"[[105  15], [92 23], [81 56], [74 78], [71 89], [ 76 111]]","[[105  15], [92 23], [81 56], [74 78], [71 89], [ 76 111]]",107.099,"[[8, 4], [8, 3, 2], [4, 4, 1, 4, 4]]",710
[],0.0,"[[122 115], [123  95]]","[[122 115], [123  95]]",20.025,[],710
"[(0.2, 1)]",0.2,"[[129 112], [136  81]]","[[129 112], [136  81]]",31.7805,[[5]],710
"[(0.3333, 2)]",0.3333,"[[113  99], [115 106], [104 129]]","[[113  99], [115 106], [104 129]]",32.7752,"[[3, 5]]",710
"[(0.381, 2)]",0.381,"[[ 99 118], [ 92 113], [ 77 106], [68 92], [62 87], [54 70]]","[[ 99 118], [ 92 113], [ 77 106], [68 92], [62 87], [54 70]]",68.3971,"[[8, 5]]",710
[],0.0,"[[ 38 159], [ 44 133], [ 52 117], [53 90], [62 68], [65 59], [70 33]]","[[ 38 159], [ 44 133], [ 52 117], [53 90], [62 68], [65 59], [70 33]]",131.3234,[],710
[],0.0,"[[ 54 134], [ 42 120]]","[[ 54 134], [ 42 120]]",18.4391,[],710
[],0.0,"[[129  79], [131  80]]","[[129  79], [131  80]]",2.2361,[],710
[],0.0,"[[87 23], [79 11]]","[[87 23], [79 11]]",14.4222,[],710
[],0.0,"[[ 96 120], [ 88 130], [ 84 135], [ 76 145], [ 65 159]]","[[ 96 120], [ 88 130], [ 84 135], [ 76 145], [ 65 159]]",49.8201,[],710
"[(0.0769, 3)]",0.0769,"[[ 72 109], [ 74 113], [ 78 133], [ 82 148]]","[[ 72 109], [ 74 113], [ 78 133], [ 82 148]]",40.3924,"[[5, 8, 4]]",710
[],0.0,"[[57 71], [62 87], [64 89], [ 68 102]]","[[57 71], [62 87], [64 89], [ 68 102]]",33.193,[],710
