Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision
"[[179  86], [163  95], [148  94], [139 100], [125 107], [109 122], [ 87 129], [ 68 140], [ 53 156]]",179,86,53,156,9,148.7647,0.6364,0.5664,0.3744
"[[53 60], [70 67], [79 71], [105  74], [124  80], [133  84], [142  90], [160  95], [181  87]]",53,60,181,87,9,136.1503,0.3636,0.4275,0.2596
"[[89 79], [94 74], [120  68]]",89,79,120,68,3,33.7544,0.1111,0.036,0.0395
"[[ 43 109], [ 60 114], [ 63 116], [ 84 117]]",43,109,84,117,4,42.3494,0.0,0.0552,0.0332
"[[153 138], [151 136], [132 122], [124 109], [116  99], [109  77]]",153,138,109,77,6,77.5867,0.7143,0.6561,0.0892
"[[ 60 136], [ 65 116], [ 69 102], [72 78]]",60,136,72,78,4,59.3625,0.1538,0.0356,0.0327
