rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards,collided_obs
[],0.0,"[[78 99], [73 90], [60 74]]",3,30.9112,[],0,[]
"[(0.2, 1)]",0.0,"[[ 84 107], [63 77]]",2,36.6197,[],0,[]
"[(1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2)]",0.0,"[[45 95], [46 84], [58 73]]",3,27.3242,[],0,[]
"[(0.0, 4), (0.0, 4), (0.0, 4), (0.0, 4)]",0.0,"[[109  91], [99 87], [89 83], [77 76], [64 74]]",5,48.586,[],0,[]
[],0.0,"[[75 98], [86 97], [103  99], [123 101]]",4,48.2624,[],0,[]
[],0.0,"[[114  99], [107  90], [100  83], [79 78], [58 73]]",5,64.4753,[],0,[]
