"tensor(3.10490, dtype=torch.float64)"
"tensor(3.04510, dtype=torch.float64)"
"tensor(3.22701, dtype=torch.float64)"
"tensor(3.04510, dtype=torch.float64)"
"tensor(3.35546, dtype=torch.float64)"
"tensor(3.10490, dtype=torch.float64)"
"tensor(2.80953, dtype=torch.float64)"
"tensor(3.44237, dtype=torch.float64)"
"tensor(3.53081, dtype=torch.float64)"
"tensor(3.42914, dtype=torch.float64)"
"tensor(7.51386, dtype=torch.float64)"
"tensor(5.16545, dtype=torch.float64)"
"tensor(7.55606, dtype=torch.float64)"
"tensor(6.59267, dtype=torch.float64)"
"tensor(9.52208, dtype=torch.float64)"
"tensor(10.81640, dtype=torch.float64)"
"tensor(10.00308, dtype=torch.float64)"
"tensor(10.81640, dtype=torch.float64)"
"tensor(5.24342, dtype=torch.float64)"
"tensor(1.03112, dtype=torch.float64)"
"tensor(0.06123, dtype=torch.float64)"
"tensor(3.21716, dtype=torch.float64)"
"tensor(1.87733, dtype=torch.float64)"
"tensor(3.46910, dtype=torch.float64)"
"tensor(1.83456, dtype=torch.float64)"
"tensor(6.24657, dtype=torch.float64)"
"tensor(7.70555, dtype=torch.float64)"
"tensor(4.87998, dtype=torch.float64)"
"tensor(3.38659, dtype=torch.float64)"
"tensor(3.57878, dtype=torch.float64)"
"tensor(3.81770, dtype=torch.float64)"
"tensor(2.89238, dtype=torch.float64)"
"tensor(16.80921, dtype=torch.float64)"
"tensor(20.73950, dtype=torch.float64)"
"tensor(18.73570, dtype=torch.float64)"
"tensor(17.20596, dtype=torch.float64)"
"tensor(18.73570, dtype=torch.float64)"
"tensor(20.62213, dtype=torch.float64)"
"tensor(17.65371, dtype=torch.float64)"
"tensor(5.81386, dtype=torch.float64)"
"tensor(1.28064, dtype=torch.float64)"
"tensor(4.00874, dtype=torch.float64)"
"tensor(6.04148, dtype=torch.float64)"
"tensor(6.70712, dtype=torch.float64)"
"tensor(5.60792, dtype=torch.float64)"
"tensor(5.36524, dtype=torch.float64)"
"tensor(9.93828, dtype=torch.float64)"
"tensor(5.07763, dtype=torch.float64)"
"tensor(6.23039, dtype=torch.float64)"
"tensor(5.12070, dtype=torch.float64)"
