Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision
"[[108 118], [102 119], [ 82 132]]",108,118,82,132,3,29.9365,0.0
"[[63 82], [79 78], [91 75], [110  70], [119  73]]",63,82,119,73,5,57.9955,0.0
"[[159 103], [157 121], [147 139], [135 146], [121 155], [103 166]]",159,103,103,166,6,90.3328,0.3333
"[[ 67 145], [ 86 134], [ 94 132], [113 121], [116 118]]",67,145,116,118,5,56.3978,0.0
"[[178  72], [173  65], [169  56], [157  46], [129  34], [114  29], [89 11], [69 31]]",178,72,69,31,8,139.4363,0.5172
"[[ 50 149], [ 70 155], [ 84 162]]",50,149,84,162,3,36.5331,0.0
"[[145 127], [121 121], [114 123], [ 90 122], [ 71 125], [ 51 126], [ 29 128]]",145,127,29,128,7,117.3907,0.16
"[[ 82 132], [ 84 162]]",82,132,84,162,2,30.0666,0.0
"[[147 148], [121 155], [101 164]]",147,148,101,164,3,48.8575,0.3333
"[[162  37], [169  49], [178  72], [171  84], [157  91], [130 103], [116 118], [108 128], [ 94 142], [ 81 157]]",162,37,81,157,10,170.6551,0.9189
"[[ 58 127], [ 71 125], [ 88 120], [ 95 118], [113 115], [130 103], [157  91], [171  84], [178  72], [188  56]]",58,127,188,56,10,155.1695,0.5676
"[[178  72], [174  69]]",178,72,174,69,2,5.0,0.0
"[[114 106], [113 115], [108 118], [ 87 110], [ 70 105], [74 97]]",114,106,74,97,6,64.0229,0.8095
"[[59 94], [60 95], [ 50 115]]",59,94,50,115,3,23.7749,0.0
"[[ 36 141], [ 40 136], [ 51 126], [ 59 111], [ 69 100], [72 94], [79 78], [91 75], [110  70]]",36,141,110,70,9,109.3239,0.2121
"[[ 63 129], [ 86 134]]",63,129,86,134,2,23.5372,0.0
"[[157  91], [159 103], [157 121], [147 139], [135 146], [119 159], [117 149]]",157,91,117,149,7,95.5736,0.56
"[[149 159], [147 148], [143 129], [121 121], [110 131], [ 98 143]]",149,159,98,143,6,85.8429,0.381
"[[143 129], [121 121], [108 118], [ 87 110], [ 69 100], [62 88]]",143,129,62,88,6,93.707,0.8095
"[[94 78], [79 78], [72 94], [ 69 100], [ 63 120], [ 54 140], [ 49 167]]",94,78,49,167,7,109.4438,0.44
"[[ 37 106], [ 40 102], [59 94]]",37,106,59,94,3,25.6155,0.2222
"[[ 63 129], [ 51 119], [ 39 113]]",63,129,39,113,3,29.0369,0.0
"[[133  66], [145  91], [159 103], [157 121], [153 142]]",133,66,153,142,5,85.6583,0.3529
"[[162  64], [178  72], [171  84], [157  91], [130 103], [113 115], [108 118], [ 90 122], [ 77 131], [ 54 140]]",162,64,54,140,10,162.5683,0.8378
"[[148  54], [151  51], [173  65], [178  72], [171  84], [157  91], [130 103], [113 115], [108 118], [ 90 122], [ 71 125], [ 63 129], [ 44 130], [ 36 134], [ 20 136]]",148,54,20,136,15,215.3667,0.9474
"[[116 175], [131 159], [141 148], [143 129], [121 121], [115  99]]",116,175,115,99,6,102.1157,0.381
"[[ 59 111], [ 69 100], [72 94], [79 78], [91 75], [113  71]]",59,111,113,71,6,73.7685,0.3333
"[[126  40], [129  34], [157  46], [169  56], [173  65], [178  72], [171  84], [169  86], [145  91], [139  94], [122 101]]",126,40,122,101,11,137.5721,0.8293
"[[62 49], [71 58], [90 72], [110  81], [124  88], [133  94]]",62,49,133,94,6,84.7296,0.0
"[[177  63], [173  65], [174  69]]",177,63,174,69,3,8.5952,0.3333
"[[188  56], [178  72], [171  84], [157  91], [130 103], [113 115], [102 119]]",188,56,102,119,7,110.4728,0.76
"[[ 68 136], [ 51 126]]",68,136,51,126,2,19.7231,0.0
"[[94 78], [79 78], [62 88], [59 94]]",94,78,59,94,4,41.4313,0.0769
"[[97 46], [103  69], [109  89], [114 106], [118 114], [121 121], [143 129], [141 136]]",97,46,141,136,8,109.6199,0.3793
"[[89 11], [69 31], [66 48], [64 55], [63 82], [ 60 108], [ 63 129], [ 70 154]]",89,11,70,154,8,153.1928,0.5172
"[[144  91], [139  94], [130 103], [113 115], [108 118], [ 89 115]]",144,91,89,115,6,64.4339,0.0
"[[112  54], [114  56], [119  73], [124  88], [126  93], [128  95], [121 121], [143 129], [147 148], [144 172]]",112,54,144,172,10,138.5119,0.2432
"[[ 28 118], [ 31 117], [ 51 119], [ 63 129], [ 86 134]]",28,118,86,134,5,62.4197,0.0
"[[105 125], [113 121], [116 118], [130 103]]",105,125,130,103,4,33.7052,0.0
"[[162  64], [178  72], [171  84], [169  86], [145  91], [133  94], [109  89]]",162,64,109,89,7,96.0093,0.48
"[[55 81], [59 91], [56 94], [ 50 115], [ 46 129], [ 36 146], [ 32 158]]",55,81,32,158,7,83.7857,0.48
"[[ 27 139], [ 37 119], [ 39 113], [ 42 107], [59 91], [55 81]]",27,139,55,81,6,69.509,0.9048
"[[ 36 146], [ 44 130], [ 50 115], [56 94], [63 82], [64 56], [69 31], [89 11], [114  29], [113  33]]",36,146,113,33,10,184.5044,0.3514
