Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision
"[[57 64], [62 83], [ 69 101], [ 72 113], [ 79 127], [ 86 139], [ 93 165], [101 167], [123 177]]",57,64,123,177,9,140.2125,0.3939,0.4232,0.2601
"[[117  30], [125  34], [130  36], [149  47], [166  62], [173  69], [174  78], [171  94], [165 103], [159 121], [153 133], [141 150], [131 152], [115 162], [101 167]]",117,30,101,167,15,202.1367,0.4737,0.7841,0.7493
"[[133 170], [137 156], [140 151], [144 135], [131 119], [129 106], [124  90], [117  65], [101  40]]",133,170,101,40,9,143.0583,1.0,0.77,0.0991
"[[ 34 143], [ 49 138], [ 68 135], [ 75 128], [ 77 127], [ 85 123], [107 119], [117 112], [136 101], [143  96], [152  96], [170 102], [172 103]]",34,143,172,103,13,151.4604,0.449,0.3052,0.2909
"[[107 119], [117 112], [136 101]]",107,119,136,101,3,34.1611,0.4444,0.1876,0.1873
"[[172 103], [169 111], [165 120], [153 133], [141 150], [140 151], [137 156], [127 168], [121 173], [111 181]]",172,103,111,181,10,100.3755,0.4595,0.3403,0.0548
"[[148  33], [156  44], [169  66], [178  86], [149  93], [143  96], [136 101], [117 112], [107 119], [ 94 131]]",148,33,94,131,10,158.0833,0.6757,0.7952,0.6085
"[[ 27 118], [ 36 120], [ 52 115], [ 72 113]]",27,118,72,113,4,46.0824,0.3846,0.0477,0.0295
"[[134  89], [116  91], [99 81], [82 81], [59 90], [ 41 108], [ 25 113]]",134,89,25,113,7,121.7509,0.96,0.4348,0.2667
"[[111  63], [119  70], [145  88], [158 104]]",111,63,158,104,4,62.8685,0.3846,0.3649,0.1474
"[[ 85 123], [ 86 139], [ 93 165], [110 177], [111 178], [131 184]]",85,123,131,184,6,86.0605,0.7143,0.3809,0.3074
"[[140  70], [111  63], [82 59], [64 54], [66 29]]",140,70,66,29,5,102.8688,0.4706,0.463,0.3809
"[[166  62], [169  66], [178  86], [149  93], [143  96], [136 101], [117 112], [107 119], [102 118], [ 94 115], [ 78 116]]",166,62,78,116,11,135.9104,0.8049,0.6913,0.6468
"[[ 38 133], [ 45 116], [ 44 112], [48 86], [51 77], [56 63], [66 29], [91  2], [98 10], [112  18]]",38,133,112,18,10,172.1582,1.0,0.7421,0.731
"[[95 78], [110  90], [117 112], [108 132]]",95,78,108,132,4,64.2279,0.9231,0.3267,0.2935
"[[ 42 147], [ 58 140], [ 75 128], [ 77 127], [ 87 119]]",42,147,87,119,5,53.3152,0.0,0.0684,0.0286
"[[ 29 123], [ 23 128], [ 36 133], [ 41 135], [ 52 145], [ 71 156], [ 93 165], [101 167], [122 173]]",29,123,122,173,9,117.8006,0.1515,0.0624,0.092
"[[ 29 103], [ 41 108], [59 90], [74 91]]",29,103,74,91,4,53.4891,0.5385,0.2618,0.1032
"[[70 79], [73 90], [ 67 116], [ 58 140]]",70,79,58,140,4,63.7171,0.3846,0.158,0.091
"[[ 97 171], [ 89 154], [ 91 132], [107 119], [117 112], [123  90], [124  64]]",97,171,124,64,7,122.5238,0.8,0.4712,0.3778
"[[144 160], [146 158], [144 135], [134 123], [122 106], [110  90], [99 81], [91 77], [68 82]]",144,160,68,82,9,129.0385,0.7576,0.6549,0.2503
"[[ 52 145], [ 71 156], [ 93 165], [108 163], [129 160], [137 156], [149 150], [154 147]]",52,145,154,147,8,110.2618,0.4138,0.2221,0.1884
"[[142  79], [134  89], [122 106], [117 112], [107 119], [ 92 115], [ 71 119], [ 51 129], [ 38 133]]",142,79,38,133,9,126.4956,0.3333,0.4875,0.1849
"[[59 90], [ 72 113], [ 79 127], [ 86 139], [ 93 165], [108 173], [124 178]]",59,90,124,178,7,116.6535,0.28,0.3046,0.2656
"[[126 153], [115 162], [101 167]]",126,153,101,167,3,29.0787,0.0,0.0131,0.0611
"[[47 65], [48 86], [ 41 108], [ 37 133], [ 34 143]]",47,65,34,143,5,79.8689,0.8235,0.5032,0.4782
"[[145  88], [158 104], [155 120], [149 131], [140 151], [137 156], [135 160], [123 177], [120 179]]",145,88,120,179,9,106.0733,0.4848,0.6178,0.624
"[[144 157], [144 135], [131 119], [129 106], [124  90], [119  62]]",144,157,119,62,6,100.9745,0.8571,0.5798,0.1109
"[[77 64], [74 67], [52 83], [50 85], [ 40 100]]",77,64,40,100,5,52.3018,0.4706,0.3024,0.1804
"[[173  74], [178  86], [149  93], [143  96], [136 101], [131 119]]",173,74,131,119,6,76.8249,0.6667,0.3822,0.1279
"[[134 123], [131 119], [136 101], [143  96], [149  93], [178  86], [169  66], [157  39]]",134,123,157,39,8,120.3032,0.9655,0.5992,0.5596
"[[144  29], [116  23], [98 10], [91  2], [66 29], [62 51], [82 59], [89 55]]",144,29,89,55,8,150.2297,0.8276,0.6951,0.6808
"[[136  77], [128  81], [126  84], [123  90], [117 112], [107 119], [ 88 127]]",136,77,88,127,7,74.8836,0.24,0.3447,0.0896
"[[ 44 112], [ 51 129], [ 62 144]]",44,112,62,144,3,36.9859,0.0,0.0153,0.0224
"[[122 173], [101 167], [ 93 165], [ 71 156], [ 52 145]]",122,173,52,145,5,75.8108,0.3529,0.0096,0.0303
"[[190  57], [181  72], [171  94], [165 103], [155 120], [149 131], [140 151], [137 156], [135 160], [123 177], [120 179]]",190,57,120,179,11,141.3777,0.878,0.5365,0.0288
"[[ 67 158], [ 70 140], [ 75 120], [ 69 101], [74 91], [82 81], [99 81]]",67,158,99,81,7,99.7753,0.28,0.2614,0.0802
"[[ 71 119], [ 69 101], [62 83]]",71,119,62,83,3,37.424,0.3333,0.0007,0.0214
"[[122 124], [136 101], [143  96], [149  93], [178  86], [169  66], [151  52], [146  45]]",122,124,146,45,8,125.4068,0.9655,0.606,0.5949
"[[92  6], [97  9], [116  23]]",92,6,116,23,3,29.4318,0.4444,0.1494,0.0946
"[[169 106], [154 102]]",169,106,154,102,2,15.5242,0.4,0.1864,0.0874
"[[ 73 134], [ 88 127], [107 119], [117 112], [116  91]]",73,134,116,91,5,70.3988,0.3529,0.2244,0.2133
"[[73 90], [ 69 101], [ 59 118], [ 47 135], [ 36 154]]",73,90,36,154,5,74.1909,0.0,0.103,0.1234
"[[146  45], [149  47], [166  62], [173  69], [174  78], [171  94], [165 103], [155 120], [149 131], [140 151]]",146,45,140,151,10,126.5122,0.5135,0.7354,0.5725
"[[169 111], [170 102]]",169,111,170,102,2,9.0554,0.0,0.0135,0.1105
"[[173  74], [178  86], [149  93], [143  96], [136 101], [117 112], [107 119], [ 91 132], [ 79 139], [ 62 144]]",173,74,62,144,10,144.5325,0.8108,0.6527,0.1279
"[[76 79], [73 90], [ 72 100], [ 78 116], [ 85 140]]",76,79,85,140,5,63.5396,0.4706,0.1746,0.1214
"[[ 37 133], [ 35 122]]",37,133,35,122,2,11.1803,0.4,0.2749,0.1759
"[[171  94], [143  96], [136 101], [134 114]]",171,94,134,114,4,49.8266,0.4615,0.2463,0.2572
"[[140  70], [120  69], [98 73], [76 79]]",140,70,76,79,4,65.1892,0.3077,0.0224,0.017
"[[157  39], [166  62], [173  74], [178  88], [145  88]]",157,39,145,88,5,86.4567,0.4706,0.6945,0.1515
"[[134 123], [113 125], [ 92 120]]",134,123,92,120,3,42.6821,0.0,0.0651,0.0701
"[[77 64], [77 72], [73 90], [ 72 100], [ 72 113], [ 79 127], [ 86 139], [ 93 165], [101 167]]",77,64,101,167,9,114.2059,0.4242,0.3647,0.2366
"[[80 68], [82 69], [99 81], [116  91], [123  90], [143  96]]",80,68,143,96,6,70.7195,0.7143,0.2308,0.1595
"[[ 41 108], [ 59 118], [ 73 134], [ 89 154]]",41,108,89,154,4,67.464,0.0769,0.0123,0.0184
"[[62 51], [56 63], [51 77], [37 98], [ 29 103]]",62,51,29,103,5,62.9553,0.4118,0.4729,0.2749
"[[ 51 163], [ 55 154], [ 71 156], [ 93 165], [101 167], [121 173], [140 172]]",51,163,140,172,7,97.8962,0.72,0.1555,0.1554
