Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[64 95], [ 63 111], [ 69 135], [ 72 144], [ 93 162], [102 168], [113 159], [127 153]]",64,95,127,153,8,118.1762,0.2759,0.4081,0.1491,0.45,0.5,0.45,34.9903,
"[[142  31], [147  40], [165  54], [171  66], [175  69], [178  94], [173 100], [170 106], [154 137], [143 157], [138 165], [128 185]]",142,31,128,185,12,180.719,0.6444,0.6472,0.0618,0.9,0.88,0.9,40.7071,
"[[132  30], [112  25], [81  5], [60 51], [80 56]]",132,30,80,56,5,128.6896,0.6471,0.8278,0.7781,0.9,0.8,0.9,40.3737,
"[[128 184], [132 179], [142 152], [144 127], [131 120], [135 107], [142  77], [144  73]]",128,184,144,73,8,123.9196,0.7241,0.6571,0.5012,0.9,0.9,0.9,41.4407,
"[[170  71], [175  69], [178  94], [164  90], [138  84], [131  89]]",170,71,131,89,6,80.4104,0.8095,0.5733,0.4861,1.0,1.0,1.0,42.3508,
"[[118 178], [102 168], [ 93 162], [ 72 144], [ 68 122], [62 96], [59 81], [60 51], [79  5]]",118,178,79,5,9,201.4704,0.5758,0.594,0.4727,1.0,1.0,1.0,39.8745,
"[[159 113], [154 137]]",159,113,154,137,2,24.5153,0.2,0.0833,0.1804,0.35,0.3,0.3,33.2353,
"[[ 73 101], [ 75 118], [ 72 144], [ 93 162], [110 169]]",73,101,110,169,5,89.3332,0.2353,0.3625,0.0754,0.4,0.4,0.5,34.2035,
"[[ 55 153], [ 71 140], [ 76 137], [ 89 129], [108 118], [116 110], [125 101], [130  95], [138  84]]",55,153,138,84,9,109.1187,0.2424,0.176,0.0742,0.4,0.4,0.5,34.4465,
"[[163 110], [153 122], [144 147], [138 153], [113 159], [ 92 168], [ 67 156], [ 59 152], [ 45 163]]",163,110,45,163,9,153.7133,0.9091,0.4249,0.0133,1.0,1.0,1.0,44.2992,
"[[159 113], [154 137], [130 123], [112 121], [ 99 120], [ 79 114]]",159,113,79,114,6,104.33,0.4286,0.5064,0.5163,0.65,0.6,0.7,37.0749,
"[[ 63 111], [62 96], [59 81], [60 51], [81  5], [98 13], [135  28], [138  45]]",63,111,138,45,8,186.8897,0.4138,0.8663,0.1918,0.65,0.7,0.65,37.4536,
"[[95 18], [81  5], [60 51], [82 60], [103  71], [117  76]]",95,18,117,76,6,132.0141,0.9048,0.9164,0.8915,1.0,1.0,1.0,44.0825,
"[[101 128], [ 94 127], [ 79 114]]",101,128,79,114,3,26.9205,0.0,0.0425,0.0108,0.1,0.1,0.1,30.3925,
"[[171  49], [175  69], [178  94], [173 100], [170 106], [154 137], [138 153], [131 165], [126 168], [118 179]]",171,49,118,179,10,150.9317,0.9189,0.6077,0.0572,1.0,1.0,1.0,44.4194,
"[[142 152], [144 127], [131 120], [128 108], [125  83]]",142,152,125,83,5,77.3934,0.8824,0.6373,0.4,1.0,1.0,1.0,43.3717,
"[[ 54 146], [ 59 152], [ 67 156], [ 77 161], [102 168], [124 157]]",54,146,124,157,6,78.4931,0.0,0.0219,0.0922,0.15,0.15,0.2,30.7612,
"[[ 26 134], [ 35 127], [ 48 117], [62 96], [64 95], [74 87], [77 85], [103  71], [117  76], [139  73]]",26,134,139,73,10,138.289,0.973,0.4305,0.4194,1.0,1.0,1.0,45.1027,
"[[ 94 127], [108 118], [116 110], [113  89], [111  80], [103  71]]",94,127,103,71,6,70.4314,0.381,0.3444,0.3062,0.5,0.5,0.6,36.1519,
"[[135 110], [131  94], [159  91], [178  94], [175  69], [153  54], [143  42], [132  30]]",135,110,132,30,8,147.5938,1.0,0.6394,0.3547,1.0,1.0,1.0,45.5553,
"[[125  44], [123  45], [132  30], [143  42], [153  54], [175  69], [178  94], [173 100], [170 106], [154 137], [142 152]]",125,44,142,152,11,172.048,1.0,0.6819,0.672,1.0,1.0,1.0,45.7301,
"[[ 45 101], [ 43 119], [ 45 136], [ 51 155]]",45,101,51,155,4,55.1529,0.5385,0.0996,0.0396,0.75,0.75,0.8,38.2949,
"[[165  44], [171  49], [175  69], [178  94], [173 100], [170 106], [154 137], [144 147], [125 158], [102 168]]",165,44,102,168,10,163.9662,0.8378,0.6537,0.0871,1.0,1.0,1.0,43.3529,
"[[138 153], [144 147], [144 127], [131 120], [128 115], [121 110], [119 108], [113  89], [100  83], [88 66]]",138,153,88,66,10,115.5631,0.8919,0.6997,0.5212,1.0,1.0,1.0,43.7804,
"[[129  79], [131  94], [131 120], [144 127], [144 147], [138 153], [131 165], [121 179]]",129,79,121,179,8,115.4799,0.6897,0.6529,0.6068,0.9,0.9,1.0,40.8884,
"[[ 84 134], [ 94 127], [112 121], [130 123], [154 137], [159 113], [160 113]]",84,134,160,113,7,102.5912,0.32,0.348,0.0526,0.55,0.6,0.65,35.5095,
"[[74 87], [64 95], [62 96], [ 48 117]]",74,87,48,117,4,40.2812,0.0,0.0063,0.0659,0.1,0.1,0.2,30.488,
"[[130  95], [131  94], [159  91], [178  94], [175  69], [153  54], [137  30]]",130,95,137,30,7,129.4607,1.0,0.6272,0.3655,1.0,1.0,1.0,45.4256,
"[[ 89 113], [108 118], [130 123], [144 127], [144 147], [138 165]]",89,113,138,165,6,95.7418,0.4286,0.5324,0.4301,0.6,0.55,0.7,37.0135,
"[[147  40], [165  54], [171  66], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101]]",147,40,125,101,9,123.0194,0.6364,0.7406,0.5021,0.85,0.9,0.9,40.1801,
"[[140  64], [133  62], [107  68]]",140,64,107,68,3,33.9634,0.0,0.0478,0.0227,0.05,0.1,0.1,30.4428,
"[[74 81], [ 73 101], [ 87 115], [101 128]]",74,81,101,128,4,58.9289,0.4615,0.226,0.1928,0.65,0.7,0.7,37.2208,
"[[100  75], [87 64], [60 51], [81  5], [98 13], [132  30]]",100,75,132,30,6,154.3643,0.6667,0.7844,0.736,0.9,0.9,1.0,40.8375,
"[[60 62], [66 86], [ 73 101], [ 71 123]]",60,62,71,123,4,63.3823,0.2308,0.2544,0.0811,0.4,0.4,0.45,33.9536,
"[[121 118], [112 121], [ 94 127], [ 89 128], [ 68 122]]",121,118,68,122,5,55.3998,0.0,0.0422,0.0233,0.15,0.2,0.2,30.5961,
"[[117  89], [123  87], [147  84]]",117,89,147,84,3,30.5113,0.2222,0.217,0.0963,0.4,0.4,0.5,33.5956,
"[[ 28 116], [ 36 109], [ 42 103], [46 95], [50 81], [56 72], [63 58]]",28,116,63,58,7,69.089,0.56,0.4667,0.2563,0.66,0.65,0.7,38.702,
"[[119 108], [121 110], [128 115], [131 120], [144 127], [144 147], [125 158], [117 165]]",119,108,117,165,8,84.6112,0.5517,0.5888,0.506,0.7,0.7,0.8,38.6943,
"[[142  77], [129  93], [125 101], [119 108], [110 117]]",142,77,110,117,5,51.5073,0.0588,0.1089,0.0774,0.15,0.15,0.2,31.4091,
"[[79  5], [60 51], [56 72], [50 81], [46 95], [ 42 103], [ 36 109], [ 25 128], [ 19 124]]",79,5,19,124,9,143.1191,0.9697,1.0317,1.0193,1.0,1.0,1.0,45.09,
"[[ 20 128], [ 25 128], [ 29 120], [ 42 103], [ 45 101], [50 98], [61 92]]",20,128,61,92,7,57.3117,0.88,0.3525,0.2908,1.0,1.0,1.0,43.1938,
"[[125 158], [144 147], [153 122], [160 113]]",125,158,160,113,4,59.9269,0.3077,0.2416,0.1202,0.5,0.5,0.55,35.0286,
"[[ 74 119], [ 95 117]]",74,119,95,117,2,21.095,0.0,0.096,0.0011,0.05,0.05,0.1,30.3508,
"[[112 121], [ 99 120], [ 75 118]]",112,121,75,118,3,37.1216,0.0,0.027,0.0073,0.1,0.1,0.15,30.4654,
"[[147  84], [138  84], [111  80]]",147,84,111,80,3,36.2947,0.1111,0.0224,0.0415,0.2,0.2,0.2,32.0482,
"[[120  28], [143  42], [153  54], [175  69], [178  94], [173 100], [170 106], [154 137], [138 153], [131 165], [121 179]]",120,28,121,179,11,197.4812,0.8293,0.7561,0.735,1.0,1.0,1.0,43.471,
"[[ 93 172], [108 175], [127 179]]",93,172,127,179,3,34.7135,0.0,0.0107,0.0709,0.1,0.1,0.15,30.4482,
