N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;23;0.87;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;23;0.89;0.2;0.2;0.2;0.2;0.2;1;1;0
1;24;1.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;24;1.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;24;0.97;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;24;0.98;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;24;0.96;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
6;24;0.91;0.2;0.2;0.2;0.2;0.2;0.0;0;0
7;24;0.96;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;25;0.98;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;25;0.99;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;25;0.9;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;25;0.91;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;26;0.87;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
2;26;0.87;0.2;0.2;0.2;0.2;0.2;1;1;0
1;27;0.86;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;27;0.87;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;27;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;27;0.86;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;27;0.87;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
6;27;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
7;27;0.87;0.2;0.2;0.2;0.2;0.2;0.0;0;0
8;27;0.9;0.2;0.2;0.2;0.2;0.2;-0.03;0;0
1;28;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;28;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;28;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;28;0.88;0.2;0.2;0.2;0.2;0.2;1;1;0
1;29;0.9;0.2;0.2;0.2;0.2;0.2;1;1;0
1;30;0.95;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;30;0.94;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;30;0.94;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;30;0.92;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;30;0.93;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;30;0.93;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;31;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;31;0.92;0.2;0.2;0.2;0.2;0.2;1;1;0
1;32;0.91;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;32;0.91;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;32;0.9;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;32;0.93;0.2;0.2;0.2;0.2;0.2;1;1;0
1;33;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;33;0.88;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;33;0.9;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;33;0.86;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;33;0.87;0.2;0.2;0.2;0.2;0.2;1;1;0
1;34;0.92;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;34;0.93;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;34;0.92;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;34;0.91;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;34;0.88;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;34;0.86;0.2;0.2;0.2;0.2;0.2;0.0;0;0
7;34;0.84;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
8;34;0.83;0.2;0.2;0.2;0.2;0.2;1;1;0
1;35;0.9;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;35;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;35;0.9;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;35;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;35;0.91;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
6;35;0.85;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
7;35;0.9;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
8;35;0.89;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
9;35;0.92;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
10;35;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;36;0.93;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;36;0.86;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;36;0.87;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;37;0.84;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;37;0.85;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;37;0.9;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;37;0.91;0.2;0.2;0.2;0.2;0.2;1;1;0
1;38;0.94;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;38;0.93;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;39;0.89;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;39;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
