N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;21;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;21;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;21;0.0;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
4;21;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;21;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;21;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;22;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;22;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;22;0.02;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
4;22;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;22;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;22;0.01;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;23;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;23;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;23;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;24;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;24;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;24;0.01;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
4;24;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;24;0.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;24;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;25;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;25;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;25;0.02;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
4;25;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;25;0.02;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
6;25;0.01;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;26;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
