Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[159 113], [157 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [96 68], [101  60]]",159,113,101,60,16,200.069,0.4098,0.6857,0.0101,,,,
"[[153 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 95 137], [ 98 135], [112 124], [115 121], [127 114], [129 111]]",153,118,129,111,14,159.7573,0.434,0.79,0.0791,,,,
"[[143 179], [121 163], [100 166], [ 88 158], [ 86 156], [ 74 148], [ 58 133]]",143,179,58,133,7,102.0207,0.48,0.269,0.2524,,,,
"[[ 88 131], [ 91 125], [ 94 117], [105  98], [113  81], [119  62], [125  60]]",88,131,125,60,7,82.2444,0.04,0.2129,0.0075,,,,
"[[159  99], [157 111], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 84 122]]",159,99,84,122,10,146.6282,0.5135,0.7392,0.0131,,,,
"[[135 147], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 85 131]]",135,147,85,131,7,79.989,0.28,0.4519,0.016,,,,
"[[93 67], [92 77], [97 96], [ 99 106], [ 94 117], [ 90 138]]",93,67,90,138,6,73.3554,0,0.1577,0.0526,,,,
"[[ 97 136], [ 97 126], [ 99 106], [97 96], [92 77], [95 59], [99 30]]",97,136,99,30,7,107.4675,0.2,0.534,0.1567,,,,
"[[103  57], [101  60], [96 68]]",103,57,96,68,3,13.0395,0,0.0701,0.0083,,,,
"[[ 57 116], [ 67 132], [ 70 140], [ 86 156], [ 88 158], [ 94 162], [109 175], [112 181]]",57,116,112,181,8,86.6365,0.2414,0.2281,0.1197,,,,
"[[130 114], [131 103], [135  85], [140  63]]",130,114,140,63,4,52.0455,0.1538,0.4353,0.0954,,,,
"[[90 66], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [104 162]]",90,66,104,162,10,113.1741,0.2162,0.4731,0.1397,,,,
"[[109 180], [ 94 162], [ 87 142], [ 94 130], [ 99 123], [103 111]]",109,180,103,111,6,79.7642,0.4762,0.3836,0.3875,,,,
"[[90 49], [93 55], [95 59], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [104 162], [115 158], [131 153], [149 140], [161 122]]",90,49,161,122,16,203.7271,0.2623,0.6298,0.4261,,,,
"[[102  60], [110  81], [107  91], [103 111], [ 99 123], [ 97 126], [ 90 138], [ 86 156]]",102,60,86,156,8,101.8948,0.5862,0.3542,0.3542,,,,
"[[143  75], [140  81], [131  96], [126 103], [109 122]]",143,75,109,122,5,58.2985,0,0.1477,0.1146,,,,
"[[130 156], [117 162], [100 166], [ 94 162], [ 87 142], [103 126]]",130,156,103,126,6,82.8102,0.381,0.571,0.2352,,,,
"[[133 125], [120 122], [109 122], [ 94 117]]",133,125,94,117,4,40.1531,0,0.0789,0.0528,,,,
"[[ 85 131], [ 91 125], [104 112], [115  98]]",85,131,115,98,4,44.6746,0.0769,0.1429,0.0942,,,,
"[[115 121], [112 124], [ 98 135], [ 95 137], [ 86 156], [ 88 158], [100 166], [117 162], [138 165]]",115,121,138,165,9,102.6046,0.3636,0.709,0.4258,,,,
"[[152 134], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 95 137], [107 124]]",152,134,107,124,9,118.2672,0.2727,0.6826,0.0794,,,,
"[[86 52], [83 60], [80 67], [74 88]]",86,52,74,88,4,38.0001,0,0.0657,0.0466,,,,
"[[110  81], [105  98], [ 94 117], [ 85 121], [ 84 122], [ 72 129], [ 67 132], [ 44 138]]",110,81,44,138,8,94.4307,0.7931,0.3028,0.0009,,,,
"[[ 62 125], [ 58 133], [ 54 141]]",62,125,54,141,3,17.8885,0,0.045,0.0521,,,,
"[[103 111], [104 112], [112 130]]",103,111,112,130,3,21.1119,0,0.0493,0.1337,,,,
"[[157 111], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [105  98], [110  81], [109  59]]",157,111,109,59,13,201.9444,0.551,0.8597,0.062,,,,
"[[116  94], [124 101], [126 103], [135 108]]",116,94,135,108,4,23.7542,0,0.0687,0.1024,,,,
"[[104 112], [97 96], [92 77], [96 68]]",104,112,96,68,4,46.96,0,0.1301,0.0049,,,,
"[[144 148], [131 153], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 84 122]]",144,148,84,122,8,96.3043,0.2414,0.5564,0.0131,,,,
"[[110  81], [110  74]]",110,81,110,74,2,7,0,0.0888,0.0083,,,,
"[[ 85 131], [ 93 128], [ 97 126], [106 121]]",85,131,106,121,4,23.3118,0,0.023,0.0605,,,,
"[[ 46 133], [ 65 137], [ 77 139], [ 97 136]]",46,133,97,136,4,51.8058,0,0.0876,0.0087,,,,
"[[109 122], [115 121], [127 114], [129 111]]",109,122,129,111,4,23.5808,0,0.0776,0.0791,,,,
"[[115 158], [104 162], [100 166], [ 94 162], [ 87 142], [ 88 131]]",115,158,88,131,6,56.8076,0.4762,0.3016,0.2949,,,,
"[[120 122], [126 103], [120  79], [123  61]]",120,122,123,61,4,62.9118,0,0.2912,0.0479,,,,
"[[133 171], [115 167], [100 166], [ 88 158], [ 86 156], [ 74 150], [ 54 141], [ 46 140]]",133,171,46,140,8,94.1334,0.5517,0.186,0.0618,,,,
"[[110  74], [100  73], [86 87]]",110,74,86,87,3,29.8489,0.3333,0.0518,0.0157,,,,
"[[117 151], [121 163], [100 166], [ 88 158], [ 86 156], [ 95 137], [ 98 135], [112 124], [115 121], [127 114], [129 113]]",117,151,129,113,11,113.9179,0.4878,0.7393,0.7294,,,,
"[[ 83 132], [ 91 125], [104 112], [115  98], [116  94]]",83,132,116,94,5,50.9425,0.0588,0.2095,0.1161,,,,
"[[150  58], [157  55], [159  58], [134  65], [123  79], [105  98]]",150,58,105,98,6,81.1598,0.619,0.4403,0.2556,,,,
"[[100  54], [102  60], [110  81], [115  98]]",100,54,115,98,4,46.5168,0.3077,0.0896,0.0699,,,,
"[[116  65], [110  74], [105  98], [ 94 117], [ 85 121], [ 67 123], [ 50 118]]",116,65,50,118,7,102.9661,0.76,0.417,0.3246,,,,
"[[ 46 133], [ 52 114]]",46,133,52,114,2,19.9249,0.2,0.0479,0.0491,,,,
"[[ 98 135], [ 95 137], [ 86 156], [ 88 158], [100 166], [113 162], [126 155], [135 147], [152 134], [155 126], [159 113], [152 104]]",98,135,152,104,12,137.236,0.9778,0.6297,0.4194,,,,
"[[130 185], [121 163], [117 151]]",130,185,117,151,3,36.4188,0.7778,0.2412,0.0832,,,,
"[[123  79], [116  94], [110 108], [104 119], [ 94 130]]",123,79,94,130,5,59.1805,0,0.1205,0.0487,,,,
"[[ 46 121], [ 66 134], [ 80 143]]",46,121,80,143,3,40.497,0,0.0531,0.0449,,,,
"[[86 90], [90 78], [95 59], [99 30], [93  5]]",86,90,93,5,5,87.2805,1,0.6386,0.2068,,,,
"[[ 54 141], [ 66 134], [ 72 129], [ 74 126], [ 79 123], [ 85 121], [ 91 118], [103 111], [110 108], [122  96]]",54,141,122,96,10,82.6507,0.027,0.0447,0.1009,,,,
"[[112  55], [116  65], [120  79], [122  91]]",112,55,122,91,4,37.4961,0,0.0466,0.0436,,,,
"[[86 72], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [112 169], [131 163]]",86,72,131,163,11,136.4414,0.2439,0.587,0.2779,,,,
"[[135 147], [149 140]]",135,147,149,140,2,15.6525,0,0.031,0.128,,,,
"[[ 46 133], [ 49 138], [ 54 141], [ 74 150], [ 86 156], [ 88 158], [100 166], [113 162], [126 155], [135 147], [152 134], [155 126], [159 113], [162 106], [167  93]]",46,133,167,93,15,169.7591,0.3509,0.406,0.3922,,,,
"[[90 62], [92 77], [97 96], [ 99 106], [ 99 123], [ 96 131]]",90,62,96,131,6,70.5217,0,0.1726,0.034,,,,
"[[86 90], [90 78], [93 67]]",86,90,93,67,3,24.0509,0,0.0383,0.0089,,,,
"[[129  84], [122  91], [115  98], [104 112], [ 94 117], [ 85 121], [ 66 126]]",129,84,66,126,7,78.2796,0.04,0.2109,0.1178,,,,
"[[115 135], [112 133], [ 97 126], [ 88 122], [ 85 121], [ 64 115], [ 52 114]]",115,135,52,114,7,67.0516,0.16,0.2212,0.0254,,,,
"[[ 83 159], [ 74 150], [ 66 134], [ 50 118]]",83,159,50,118,4,53.2439,0,0.0279,0.0005,,,,
"[[ 67 123], [ 72 129], [ 81 149], [ 86 156], [ 88 158], [100 166], [112 169]]",67,123,112,169,7,67.9642,0.16,0.2377,0.1002,,,,
"[[90  6], [93  5], [99 30], [95 59], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [160 122], [172  98]]",90,6,172,98,18,275.7958,1,0.2678,0.2562,,,,
"[[122 130], [112 133], [ 95 137]]",122,130,95,137,3,27.9046,0,0.0143,0.066,,,,
"[[94 41], [95 59], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [130 156]]",94,41,130,156,12,164.2422,0.6,0.6976,0.2759,,,,
"[[149  81], [131  96], [126 103], [106 119], [ 93 128], [ 88 131], [ 77 139]]",149,81,77,139,7,92.8894,0.48,0.3277,0.3332,,,,
"[[88 53], [89 70], [101  83], [107  89], [111  97], [114 106]]",88,53,114,106,6,61.6376,0.4762,0.2746,0.0659,,,,
"[[ 65 137], [ 73 132], [ 80 129], [ 91 125], [106 119]]",65,137,106,119,5,44.9099,0,0.0365,0.0616,,,,
"[[110 108], [104 119], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [155 126], [159 113], [152 104]]",110,108,152,104,13,165.0542,0.9796,0.6498,0.4194,,,,
"[[103  54], [98 56], [83 61], [57 39]]",103,54,57,39,4,55.2553,1,0.4283,0.2547,,,,
"[[100  73], [92 77], [97 96], [ 99 106], [ 91 118], [ 64 115], [ 52 114]]",100,73,52,114,7,92.4191,0.2,0.3648,0.0254,,,,
"[[133 125], [120 122], [109 122], [ 91 118], [ 64 115], [ 61 115]]",133,125,61,115,6,72.9469,0.2381,0.1891,0.0752,,,,
"[[ 70 140], [ 80 129], [ 88 122], [ 94 117], [105  98], [120  79], [134  65], [159  58], [150  51]]",70,140,150,51,9,136.6307,0.3636,0.4523,0.1656,,,,
"[[ 41 136], [ 54 141], [ 74 150], [ 86 156], [ 88 158], [100 166], [113 162], [130 156]]",41,136,130,156,8,98.1564,0.6552,0.2079,0.158,,,,
"[[100 136], [103 126], [ 99 106], [97 96], [92 77], [95 59], [99 30], [93  5]]",100,136,93,5,8,133.9141,1,0.617,0.2068,,,,
"[[129  84], [127  88], [124 101], [127 114]]",129,84,127,114,4,31.1555,0,0.0888,0.1119,,,,
"[[136  66], [134  77], [131  96], [129 113]]",136,66,129,113,4,47.533,0,0.1503,0.1128,,,,
"[[ 95 137], [103 126], [106 121], [110 108], [122  96], [129  84], [134  77]]",95,137,134,77,7,72.4992,0,0.2133,0.0293,,,,
"[[ 49 138], [ 66 126], [ 73 124]]",49,138,73,124,3,28.0888,0,0.0206,0.0775,,,,
"[[86 78], [89 70], [103  54]]",86,78,103,54,3,29.8043,0,0.0057,0.0529,,,,
"[[127 160], [121 163], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [90 62]]",127,160,90,62,11,139.3911,0.439,0.5764,0.0277,,,,
"[[120  79], [106  74], [89 70], [74 72]]",120,79,74,72,4,47.4631,0.4615,0.0008,0.0144,,,,
"[[91 65], [93 67], [106  74], [113  81], [122  96]]",91,65,122,96,5,44.9856,0.2941,0.064,0.0748,,,,
"[[ 61 115], [ 72 129], [ 81 149], [ 86 156], [ 88 158], [100 166], [113 162], [126 155], [135 147], [152 134], [160 122], [166 111]]",61,115,166,111,12,154.3502,0.3111,0.42,0.3374,,,,
"[[157 111], [153 118]]",157,111,153,118,2,8.0623,0,0.0229,0.0742,,,,
"[[138 154], [127 160], [121 163], [100 166], [ 94 162], [ 87 142], [ 97 126], [104 112], [115  98], [123  79], [128  58]]",138,154,128,58,11,163.3796,0.4146,0.7037,0.4747,,,,
"[[166 111], [164  90]]",166,111,164,90,2,21.095,0.4,0.2826,0.1836,,,,
"[[103 124], [106 119], [110 108], [115  98], [122  91], [130  73], [134  65], [159  58], [150  51]]",103,124,150,51,9,104.6207,0.3636,0.5006,0.1656,,,,
"[[ 57 116], [ 64 115], [ 91 118], [ 99 106], [97 96], [92 77], [95 59], [99 30], [94  7], [85  2]]",57,116,85,2,10,159.86,1,0.799,0.2988,,,,
"[[101  94], [103 111], [106 119]]",101,94,106,119,3,25.6612,0.1111,0.0254,0.0636,,,,
"[[ 94 130], [ 87 142], [ 94 162], [100 166], [104 162], [115 158], [131 153], [149 140]]",94,130,149,140,8,98.6214,0.4828,0.5541,0.3734,,,,
"[[126 103], [109 122], [107 124], [ 95 137], [ 86 156], [ 88 158], [100 166], [113 162], [126 155], [138 152]]",126,103,138,152,10,125.0254,0.3784,0.824,0.4515,,,,
"[[157  55], [159  58], [134  65], [130  73]]",157,55,130,73,4,38.5113,0.6154,0.2131,0.1235,,,,
"[[155 126], [160 122]]",155,126,160,122,2,6.4031,0,0.0068,0.0902,,,,
"[[140 161], [135 175]]",140,161,135,175,2,14.8661,0,0.0465,0.0506,,,,
"[[ 91 125], [ 80 129], [ 67 132], [ 46 133]]",91,125,46,133,4,46.0702,0,0.0673,0.0115,,,,
"[[158 106], [157 111], [152 134], [149 140], [141 157], [138 165], [133 171], [143 179]]",158,106,143,179,8,83.2932,0.7586,0.6811,0.0253,,,,
"[[140  63], [136  68], [130  73], [122  91], [115  98], [104 112], [ 97 126], [ 87 142], [ 94 162], [100 166], [121 163], [117 151]]",140,63,117,151,12,158.3986,0.9556,0.7742,0.2953,,,,
"[[160 122], [152 134], [138 149], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 81 149], [ 73 132], [ 57 116]]",160,122,57,116,11,143.9919,0.4146,0.5243,0.0206,,,,
"[[143 179], [114 172]]",143,179,114,172,2,29.8329,0,0.0493,0.0478,,,,
"[[ 81 149], [ 86 156], [ 88 158], [ 94 162], [109 175], [112 181]]",81,149,112,181,6,45.1995,0.3333,0.2235,0.1197,,,,
"[[100  73], [116  65], [140  63]]",100,73,140,63,3,41.9717,0.2222,0.0312,0.0311,,,,
"[[154 145], [144 148], [131 153], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 98 134]]",154,145,98,134,9,100.1223,0.2121,0.61,0.0226,,,,
"[[103  54], [96 68], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 79 127], [ 70 140], [ 64 150]]",103,54,64,150,10,112.4352,0.2432,0.3026,0.0641,,,,
"[[157 111], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [89 70], [88 57]]",157,111,88,57,15,202.8293,0.4561,0.7026,0.03,,,,
"[[ 84 122], [ 72 129], [ 67 132], [ 49 138], [ 46 140]]",84,122,46,140,5,42.3026,0.1765,0.0154,0.019,,,,
"[[138 181], [114 172], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [101  97], [101  83]]",138,181,101,83,10,130.5751,0.4324,0.7102,0.0342,,,,
"[[110  63], [110  74], [107  91], [103 111], [ 99 123], [ 97 126], [ 90 138], [ 88 158], [100 176]]",110,63,100,176,9,120.5389,0.6667,0.4923,0.1625,,,,
"[[91 99], [ 99 106], [ 94 117], [ 90 138]]",91,99,90,138,4,44.0908,0,0.0539,0.0526,,,,
"[[ 65 153], [ 74 148], [ 90 138], [ 98 134], [122 130]]",65,153,122,130,5,62.4389,0.1176,0.2381,0.1387,,,,
"[[103 124], [ 96 131], [ 87 142], [ 94 162], [100 166], [104 162], [115 158]]",103,124,115,158,7,69.8744,0.4,0.4998,0.0795,,,,
"[[109 122], [107 124], [ 95 137], [ 86 156], [ 88 158], [100 166], [113 162], [126 155], [138 149]]",109,122,138,149,9,100.5774,0.4242,0.7006,0.4581,,,,
"[[90 66], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134]]",90,66,152,134,13,169.3261,0.2857,0.677,0.388,,,,
"[[83 61], [86 64], [88 66], [92 77], [97 96], [ 99 106], [ 99 123], [ 98 135]]",83,61,98,135,8,77.6623,0,0.2086,0.055,,,,
"[[148 147], [141 157], [138 181]]",148,147,138,181,3,36.3933,0.1111,0.2671,0.0931,,,,
"[[153 118], [149 140], [131 153], [115 158], [104 162]]",153,118,104,162,5,73.032,0.1765,0.4468,0.0612,,,,
"[[135 108], [129 111], [127 114], [115 121], [107 124], [103 126], [ 96 131]]",135,108,96,131,7,45.8247,0,0.1022,0.0359,,,,
"[[93 67], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [109 180]]",93,67,109,180,9,122.6065,0.2424,0.471,0.1805,,,,
"[[90 62], [92 77], [97 96], [ 99 106], [ 91 118], [ 64 115], [ 61 115]]",90,62,61,115,7,89.566,0.2,0.3966,0.0752,,,,
"[[78 69], [83 80], [86 90], [ 99 106], [ 91 118], [ 85 121], [ 84 122], [ 72 129], [ 67 132], [ 65 133]]",78,69,65,133,10,87.643,0.3784,0.2668,0.0952,,,,
"[[90 78], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118], [159  99]]",90,78,159,99,14,193.6801,0.3585,0.562,0.4723,,,,
"[[57 39], [86 64], [88 66], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118], [159  99]]",57,39,159,99,17,246.8353,1,0.4555,0.4493,,,,
"[[135 103], [127 106], [104 112], [ 91 118], [ 64 115], [ 52 114]]",135,103,52,114,6,85.8393,0.2381,0.2302,0.0254,,,,
"[[140 170], [133 171], [115 167], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [90 78], [85 72], [83 68]]",140,170,83,68,13,148.8291,0.4082,0.7048,0.3951,,,,
"[[138 152], [133 155], [127 160], [115 177], [112 181]]",138,152,112,181,5,39.4499,0,0.06,0.0467,,,,
"[[157 132], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [95 59], [99 30], [93  5]]",157,132,93,5,16,237.2559,1,0.9658,0.2068,,,,
"[[151 150], [138 154], [127 160], [121 163], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [105  98], [113  81], [119  62], [122  61]]",151,150,122,61,13,172.2917,0.3878,0.6447,0.0146,,,,
"[[122  61], [119  62], [113  81], [105  98], [ 94 117], [ 91 125], [ 88 131], [ 80 143], [ 68 161]]",122,61,68,161,9,115.1376,0.5758,0.2959,0.0211,,,,
"[[125  60], [119  62], [113  81], [105  98], [ 94 117], [ 88 122]]",125,60,88,122,6,74.8025,0.3333,0.1751,0.0049,,,,
"[[ 74 150], [ 86 156], [ 88 158], [100 166], [121 163], [140 161]]",74,150,140,161,6,70.9852,0.2857,0.2325,0.1804,,,,
"[[100  73], [106  74], [123  78], [140  81]]",100,73,140,81,4,40.8097,0,0.0076,0.0546,,,,
"[[135 103], [127 106], [104 112], [ 94 117], [ 85 121], [ 67 123]]",135,103,67,123,6,71.4537,0,0.189,0.1437,,,,
"[[135  85], [123  78], [110  74], [89 70], [74 72]]",135,85,74,72,5,64.0042,0.3529,0.0641,0.0144,,,,
"[[ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [114 172], [138 181]]",94,117,138,181,7,95.2725,0.4,0.5307,0.3068,,,,
"[[ 97 126], [ 99 106], [97 96], [92 77], [95 59], [92 35]]",97,126,92,35,6,92.3797,0.1429,0.3168,0.1278,,,,
"[[101  70], [92 77], [101  83]]",101,70,101,83,3,22.2184,0.2222,0.0309,0.0121,,,,
"[[93  5], [99 30], [95 59], [92 77], [97 96], [ 99 106], [ 91 118], [ 85 121], [ 74 129]]",93,5,74,129,9,137.8096,1,0.9141,0.9016,,,,
"[[117 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [105  98]]",117,162,105,98,7,93.8277,0.48,0.5843,0.0762,,,,
"[[ 85 121], [ 91 118], [ 99 106], [91 99], [86 87]]",85,121,86,87,5,44.7606,0.2941,0.0731,0.0003,,,,
"[[ 49 138], [ 67 132], [ 72 129], [ 74 126], [ 79 123], [ 85 121], [ 91 118], [ 99 106], [101  97], [110  81], [114  64]]",49,138,114,64,11,106.7374,0.2927,0.3219,0.1337,,,,
"[[137  92], [131 102], [127 106], [106 121], [103 126], [ 87 142]]",137,92,87,142,6,71.5841,0,0.1693,0.05,,,,
"[[ 41 131], [ 62 125], [ 73 124], [ 91 118], [ 99 106], [97 96], [92 77], [95 59]]",41,131,95,59,8,114.3748,0.3103,0.3229,0.043,,,,
"[[127 117], [130 108], [137  92]]",127,117,137,92,3,26.9511,0,0.0991,0.1224,,,,
"[[ 65 153], [ 70 140]]",65,153,70,140,2,13.9284,0,0.0343,0.0627,,,,
"[[ 73 170], [ 86 156], [ 87 148], [ 94 141], [103 128], [105 126], [110 122], [121 112]]",73,170,121,112,8,76.9757,1,0.1748,0.1605,,,,
"[[ 50 133], [ 57 140], [ 70 155], [ 80 164], [ 87 169], [102 174]]",50,133,102,174,6,67.6163,0.381,0.0078,0.0557,,,,
"[[125  40], [122  50], [113  60], [128  69], [134  74], [137  76], [142  83]]",125,40,142,83,7,61.4049,0.96,0.3286,0.2316,,,,
"[[122 171], [102 166], [ 82 159], [ 67 155]]",122,171,67,155,4,57.3293,0.4615,0.0829,0.0349,,,,
"[[92 93], [101  73], [104  70], [122  50], [125  40]]",92,93,125,40,5,63.5219,0.7059,0.2708,0.2459,,,,
"[[129 171], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [112 111], [116 101], [119  96], [123  91], [137  72], [148  52], [152  56]]",129,171,152,56,14,173.1193,0.5849,0.6174,0.1281,,,,
"[[108 160], [112 179]]",108,160,112,179,2,19.4165,0,0.0078,0.1049,,,,
"[[138 180], [125 176], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [114 112]]",138,180,114,112,9,108.6746,0.4242,0.6286,0.4255,,,,
"[[135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [102 171], [109 162]]",135,95,109,162,11,111.7236,0.1707,0.7295,0.0953,,,,
"[[128  87], [123  91], [120  93], [116 101], [112 111], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [130 165]]",128,87,130,165,13,129.4791,0.1837,0.8063,0.1481,,,,
"[[153 134], [156 115]]",153,134,156,115,2,19.2354,0.4,0.0663,0.1634,,,,
"[[ 71 134], [ 83 124], [ 93 113], [ 94 105], [89 98], [84 87], [78 69]]",71,134,78,69,7,78.2079,0.4,0.2817,0.2571,,,,
"[[137 156], [139 153], [157 127], [169 111]]",137,156,169,111,4,55.2283,0.2308,0.2306,0.1781,,,,
"[[ 76 143], [ 86 156], [ 94 162], [107 170], [108 169], [114 164], [136 147]]",76,143,136,147,7,78.6929,0.4,0.3019,0.1989,,,,
"[[154  58], [128  69], [119  82], [117  90], [110 104], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [160 109]]",154,58,160,109,17,231.1665,0.9846,0.2902,0.284,,,,
"[[85  3], [98  8], [96 46], [103  51], [113  60], [127  76]]",85,3,127,76,6,95.2972,0.8095,0.6702,0.4744,,,,
"[[ 73 170], [ 86 156], [ 87 148], [ 94 141], [103 128], [105 126], [110 122], [116 117], [121 114], [131  98], [142  83]]",73,170,142,83,11,113.2199,1,0.287,0.277,,,,
"[[118 159], [136 147], [151 133], [157 127], [175 101]]",118,159,175,101,5,82.2597,0.5882,0.3869,0.362,,,,
"[[153 133], [138 150], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 97 137]]",153,133,97,137,9,106.0137,0.3939,0.6725,0.206,,,,
"[[154 121], [153 124], [149 133], [136 147], [120 154], [109 162], [ 87 169]]",154,121,87,169,7,86.2686,0.4,0.3469,0.2377,,,,
"[[137  76], [126  87], [115 101]]",137,76,115,101,3,33.3608,0,0.0009,0.0568,,,,
"[[114 181], [112 179], [102 171], [ 94 162], [ 87 148], [ 96 134]]",114,181,96,134,6,59.9721,0.2857,0.2885,0.1803,,,,
"[[125 129], [122 122], [114 112], [110 104], [104  93], [94 81], [90 65]]",125,129,90,65,7,74.0092,0.24,0.4806,0.1996,,,,
"[[194  60], [164  91], [154 116], [149 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [101 133], [111 125]]",194,60,111,125,14,208.4037,1,0.6726,0.6649,,,,
"[[173  98], [167 108], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [112 111], [116 101], [119  96], [123  91], [137  72], [148  52]]",173,98,148,52,20,244.837,0.4675,0.6816,0.0888,,,,
"[[113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 96 134]]",113,163,96,134,6,56.7846,0.2857,0.3237,0.2142,,,,
"[[121 112], [110 104], [98 97]]",121,112,98,97,3,27.4939,0.1111,0.0145,0.0366,,,,
"[[174  97], [173  98], [167 108], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [91 96], [79 78]]",174,97,79,78,16,206.7348,0.4754,0.7617,0.754,,,,
"[[126  87], [120  92], [116 101], [112 111], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [160 109], [174  91]]",126,87,174,91,17,209.748,0.2923,0.5158,0.3962,,,,
"[[126  87], [120  92], [116 101], [112 111], [105 126], [103 128], [ 97 137], [ 87 148]]",126,87,87,148,8,73.4935,0.0345,0.1959,0.0203,,,,
"[[131 105], [121 114], [116 117], [110 122], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [154 121], [164  88]]",131,105,164,88,17,196.5512,0.2923,0.5511,0.421,,,,
"[[84 87], [91 96], [ 94 105], [ 93 113], [ 83 124], [ 76 129], [ 57 140], [ 55 140]]",84,87,55,140,8,76.3737,0.3793,0.1395,0.0781,,,,
"[[153 147], [146 152], [137 156], [121 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 123], [ 93 113], [94 97], [88 73], [92 50]]",153,147,92,50,14,183.2535,0.4528,0.8111,0.4695,,,,
"[[ 58 116], [ 77 120], [ 95 115], [ 97 105], [104  93], [109  80], [109  50]]",58,116,109,50,7,106.1169,0.6,0.4668,0.2599,,,,
"[[116 163], [102 166], [ 82 159], [ 72 151], [ 57 134], [ 56 132]]",116,163,56,132,6,73.2213,0.4286,0.1709,0.0934,,,,
