Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[155 123], [152 134], [138 149], [126 155], [113 162], [100 166], [ 83 159]]",155,123,83,159,7,92.0875,0.36,0.2728,0.0262,,,,
"[[100  54], [98 56], [91 65], [86 78]]",100,54,86,78,4,28.1586,0,0.0032,0.0185,,,,
"[[151 119], [144 148], [131 153], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125]]",151,119,91,125,9,123.3777,0.4848,0.7432,0.1801,,,,
"[[135 103], [115 121], [112 124], [ 98 135], [ 95 137], [ 86 156], [ 88 158], [100 166], [113 162], [127 160], [147 166]]",135,103,147,166,11,139.4586,0.3659,0.8284,0.469,,,,
"[[135 147], [126 155], [113 162], [100 166], [ 88 158], [ 86 156], [ 74 148]]",135,147,74,148,7,72.0807,0.28,0.1684,0.0305,,,,
"[[ 50 118], [ 62 125], [ 67 132], [ 70 140], [ 86 156], [ 88 158], [100 166], [114 172]]",50,118,114,172,8,86.1484,0.1379,0.2162,0.1126,,,,
"[[92 38], [95 59], [92 77], [97 96], [ 99 106], [106 119]]",92,38,106,119,6,84.0712,0.2381,0.3118,0.0795,,,,
"[[94  7], [99 30], [95 59], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [127 160]]",94,7,127,160,13,195.1406,0.9796,0.823,0.8147,,,,
"[[116  94], [124 101], [126 103], [130 108]]",116,94,130,108,4,19.8617,0,0.0491,0.0798,,,,
"[[114  64], [110  74], [107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118], [159  99], [196  59]]",114,64,196,59,16,264.1178,1,0.6551,0.4801,,,,
