Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[64 95], [ 63 111], [ 69 135], [ 72 144], [ 93 162], [102 168], [113 159], [127 153]]",64,95,127,153,8,118.1762,0.2759,0.4295,0.4081,0.1491,0.45,0.5,0.45,35.0272,
"[[142  31], [147  40], [165  54], [171  66], [175  69], [178  94], [173 100], [170 106], [154 137], [143 157], [138 165], [128 185]]",142,31,128,185,12,180.719,0.6444,0.8793,0.6472,0.0618,0.9,0.88,0.9,39.7776,
"[[132  30], [112  25], [81  5], [60 51], [80 56]]",132,30,80,56,5,128.6896,0.6471,0.8144,0.8278,0.7781,0.9,0.8,0.9,38.4291,
"[[128 184], [132 179], [142 152], [144 127], [131 120], [135 107], [142  77], [144  73]]",128,184,144,73,8,123.9196,0.7241,0.8852,0.6571,0.5012,0.9,0.9,0.9,39.5619,
"[[170  71], [175  69], [178  94], [164  90], [138  84], [131  89]]",170,71,131,89,6,80.4104,0.8095,0.914,0.5733,0.4861,1.0,1.0,1.0,39.7831,
"[[118 178], [102 168], [ 93 162], [ 72 144], [ 68 122], [62 96], [59 81], [60 51], [79  5]]",118,178,79,5,9,201.4704,0.5758,0.8377,0.594,0.4727,1.0,1.0,1.0,38.8631,
"[[159 113], [154 137]]",159,113,154,137,2,24.5153,0.2,0.2319,0.0833,0.1804,0.35,0.3,0.3,32.6761,
"[[ 73 101], [ 75 118], [ 72 144], [ 93 162], [110 169]]",73,101,110,169,5,89.3332,0.2353,0.3514,0.3625,0.0754,0.4,0.4,0.5,33.9763,
"[[ 55 153], [ 71 140], [ 76 137], [ 89 129], [108 118], [116 110], [125 101], [130  95], [138  84]]",55,153,138,84,9,109.1187,0.2424,0.3843,0.176,0.0742,0.4,0.4,0.5,34.7498,
"[[163 110], [153 122], [144 147], [138 153], [113 159], [ 92 168], [ 67 156], [ 59 152], [ 45 163]]",163,110,45,163,9,153.7133,0.9091,1.1089,0.4249,0.0133,1.0,1.0,1.0,41.7982,
"[[159 113], [154 137], [130 123], [112 121], [ 99 120], [ 79 114]]",159,113,79,114,6,104.33,0.4286,0.5642,0.5064,0.5163,0.65,0.6,0.7,36.1713,
"[[ 63 111], [62 96], [59 81], [60 51], [81  5], [98 13], [135  28], [138  45]]",63,111,138,45,8,186.8897,0.4138,0.6568,0.8663,0.1918,0.65,0.7,0.65,36.9849,
"[[95 18], [81  5], [60 51], [82 60], [103  71], [117  76]]",95,18,117,76,6,132.0141,0.9048,1.0764,0.9164,0.8915,1.0,1.0,1.0,41.1706,
"[[101 128], [ 94 127], [ 79 114]]",101,128,79,114,3,26.9205,0.0,0.035,0.0425,0.0108,0.1,0.1,0.1,30.8284,
"[[171  49], [175  69], [178  94], [173 100], [170 106], [154 137], [138 153], [131 165], [126 168], [118 179]]",171,49,118,179,10,150.9317,0.9189,1.1151,0.6077,0.0572,1.0,1.0,1.0,42.007,
"[[142 152], [144 127], [131 120], [128 108], [125  83]]",142,152,125,83,5,77.3934,0.8824,0.983,0.6373,0.4,1.0,1.0,1.0,40.3534,
"[[ 54 146], [ 59 152], [ 67 156], [ 77 161], [102 168], [124 157]]",54,146,124,157,6,78.4931,0.0,0.102,0.0219,0.0922,0.15,0.15,0.2,31.6639,
"[[ 26 134], [ 35 127], [ 48 117], [62 96], [64 95], [74 87], [77 85], [103  71], [117  76], [139  73]]",26,134,139,73,10,138.289,0.973,1.1528,0.4305,0.4194,1.0,1.0,1.0,42.4423,
"[[ 94 127], [108 118], [116 110], [113  89], [111  80], [103  71]]",94,127,103,71,6,70.4314,0.381,0.4726,0.3444,0.3062,0.5,0.5,0.6,35.41,
"[[135 110], [131  94], [159  91], [178  94], [175  69], [153  54], [143  42], [132  30]]",135,110,132,30,8,147.5938,1.0,1.1919,0.6394,0.3547,1.0,1.0,1.0,42.5226,
"[[125  44], [123  45], [132  30], [143  42], [153  54], [175  69], [178  94], [173 100], [170 106], [154 137], [142 152]]",125,44,142,152,11,172.048,1.0,1.2237,0.6819,0.672,1.0,1.0,1.0,43.1303,
"[[ 45 101], [ 43 119], [ 45 136], [ 51 155]]",45,101,51,155,4,55.1529,0.5385,0.6102,0.0996,0.0396,0.75,0.75,0.8,36.59,
"[[165  44], [171  49], [175  69], [178  94], [173 100], [170 106], [154 137], [144 147], [125 158], [102 168]]",165,44,102,168,10,163.9662,0.8378,1.051,0.6537,0.0871,1.0,1.0,1.0,41.3047,
"[[138 153], [144 147], [144 127], [131 120], [128 115], [121 110], [119 108], [113  89], [100  83], [88 66]]",138,153,88,66,10,115.5631,0.8919,1.0421,0.6997,0.5212,1.0,1.0,1.0,41.4395,
"[[129  79], [131  94], [131 120], [144 127], [144 147], [138 153], [131 165], [121 179]]",129,79,121,179,8,115.4799,0.6897,0.8398,0.6529,0.6068,0.9,0.9,1.0,39.1467,
"[[ 84 134], [ 94 127], [112 121], [130 123], [154 137], [159 113], [160 113]]",84,134,160,113,7,102.5912,0.32,0.4534,0.348,0.0526,0.55,0.6,0.65,35.2036,
"[[74 87], [64 95], [62 96], [ 48 117]]",74,87,48,117,4,40.2812,0.0,0.0524,0.0063,0.0659,0.1,0.1,0.2,31.0747,
"[[130  95], [131  94], [159  91], [178  94], [175  69], [153  54], [137  30]]",130,95,137,30,7,129.4607,1.0,1.1683,0.6272,0.3655,1.0,1.0,1.0,42.2362,
"[[ 89 113], [108 118], [130 123], [144 127], [144 147], [138 165]]",89,113,138,165,6,95.7418,0.4286,0.5531,0.5324,0.4301,0.6,0.55,0.7,36.0991,
"[[147  40], [165  54], [171  66], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101]]",147,40,125,101,9,123.0194,0.6364,0.7963,0.7406,0.5021,0.85,0.9,0.9,38.8106,
"[[140  64], [133  62], [107  68]]",140,64,107,68,3,33.9634,0.0,0.0442,0.0478,0.0227,0.05,0.1,0.1,30.8876,
"[[74 81], [ 73 101], [ 87 115], [101 128]]",74,81,101,128,4,58.9289,0.4615,0.5381,0.226,0.1928,0.65,0.7,0.7,35.851,
"[[100  75], [87 64], [60 51], [81  5], [98 13], [132  30]]",100,75,132,30,6,154.3643,0.6667,0.8674,0.7844,0.736,0.9,0.9,1.0,38.9751,
"[[60 62], [66 86], [ 73 101], [ 71 123]]",60,62,71,123,4,63.3823,0.2308,0.3132,0.2544,0.0811,0.4,0.4,0.45,33.5791,
"[[121 118], [112 121], [ 94 127], [ 89 128], [ 68 122]]",121,118,68,122,5,55.3998,0.0,0.072,0.0422,0.0233,0.15,0.2,0.2,31.3358,
"[[117  89], [123  87], [147  84]]",117,89,147,84,3,30.5113,0.2222,0.2619,0.217,0.0963,0.4,0.4,0.5,33.0828,
"[[ 28 116], [ 36 109], [ 42 103], [46 95], [50 81], [56 72], [63 58]]",28,116,63,58,7,69.089,0.56,0.6498,0.4667,0.2563,0.66,0.65,0.7,37.3245,
"[[119 108], [121 110], [128 115], [131 120], [144 127], [144 147], [125 158], [117 165]]",119,108,117,165,8,84.6112,0.5517,0.6617,0.5888,0.506,0.7,0.7,0.8,37.5059,
"[[142  77], [129  93], [125 101], [119 108], [110 117]]",142,77,110,117,5,51.5073,0.0588,0.1258,0.1089,0.0774,0.15,0.15,0.2,31.8917,
"[[79  5], [60 51], [56 72], [50 81], [46 95], [ 42 103], [ 36 109], [ 25 128], [ 19 124]]",79,5,19,124,9,143.1191,0.9697,1.1558,1.0317,1.0193,1.0,1.0,1.0,42.3158,
"[[ 20 128], [ 25 128], [ 29 120], [ 42 103], [ 45 101], [50 98], [61 92]]",20,128,61,92,7,57.3117,0.88,0.9545,0.3525,0.2908,1.0,1.0,1.0,40.4288,
"[[125 158], [144 147], [153 122], [160 113]]",125,158,160,113,4,59.9269,0.3077,0.3856,0.2416,0.1202,0.5,0.5,0.55,34.3198,
"[[ 74 119], [ 95 117]]",74,119,95,117,2,21.095,0.0,0.0274,0.096,0.0011,0.05,0.05,0.1,30.6454,
"[[112 121], [ 99 120], [ 75 118]]",112,121,75,118,3,37.1216,0.0,0.0483,0.027,0.0073,0.1,0.1,0.15,30.9141,
"[[147  84], [138  84], [111  80]]",147,84,111,80,3,36.2947,0.1111,0.1583,0.0224,0.0415,0.2,0.2,0.2,32.0193,
"[[120  28], [143  42], [153  54], [175  69], [178  94], [173 100], [170 106], [154 137], [138 153], [131 165], [121 179]]",120,28,121,179,11,197.4812,0.8293,1.086,0.7561,0.735,1.0,1.0,1.0,41.6353,
"[[ 93 172], [108 175], [127 179]]",93,172,127,179,3,34.7135,0.0,0.0451,0.0107,0.0709,0.1,0.1,0.15,30.8939,
"[[128 185], [132 179], [142 152], [144 127], [131 120], [132 115], [130  95]]",128,185,130,95,7,101.0469,0.68,0.8114,0.6189,0.316,0.9,0.9,0.95,38.7943,
"[[ 45 163], [ 41 139], [ 38 119], [ 42 103]]",45,163,42,103,4,61.0472,0.3077,0.3871,0.251,0.2343,0.5,0.45,0.55,34.3293,
"[[ 28 142], [ 45 136], [ 69 135]]",28,142,69,135,3,42.0486,0.0,0.0547,0.0071,0.0253,0.1,0.15,0.2,30.9555,
"[[156  59], [153  54], [175  69], [178  94], [164  90], [138  84], [123  87], [100  83], [78 80]]",156,59,78,80,9,159.7268,0.8485,1.0561,0.7105,0.5493,1.0,1.0,1.0,41.2421,
"[[119 117], [121 110], [125 101], [130  95], [131  94], [159  91], [174  93], [188  67]]",119,117,188,67,8,99.1761,0.0345,0.1634,0.3377,0.3588,0.3,0.25,0.4,32.4511,
"[[90 74], [73 96], [ 79 114], [ 76 137]]",90,74,76,137,4,69.9714,0.4615,0.5525,0.2245,0.1913,0.65,0.7,0.7,35.9438,
"[[166 118], [161 103], [131  89], [117  89], [91 82], [69 73]]",166,118,69,73,6,113.6128,0.0,0.1477,0.3983,0.035,0.35,0.4,0.4,31.959,
"[[ 40 125], [ 51 123], [ 68 122]]",40,125,68,122,3,28.2097,0.0,0.0367,0.0575,0.0405,0.1,0.1,0.1,30.8392,
"[[ 75 118], [ 73 101], [77 85], [103  71]]",75,118,103,71,4,63.1393,0.4615,0.5436,0.2495,0.1054,0.65,0.65,0.7,35.8864,
"[[129  79], [138  84], [164  90], [178  94], [175  69], [153  54], [143  42], [124  36]]",129,79,124,36,8,138.8909,1.0,1.1806,0.6667,0.6407,1.0,1.0,1.0,42.4495,
"[[81  5], [60 51], [63 58], [65 63], [69 73], [73 96], [ 79 114], [ 89 128], [ 94 138]]",81,5,94,138,9,145.0419,0.9394,1.128,0.9271,0.9146,1.0,1.0,1.0,42.0286,
"[[131  94], [117  89], [91 82], [69 73], [63 66], [61 64], [50 58]]",131,94,50,58,7,90.1396,0.08,0.1972,0.2019,0.1314,0.25,0.2,0.3,32.6966,
"[[166  62], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [110 117], [ 99 120], [ 75 118], [ 51 123], [ 35 127], [ 26 134]]",166,62,26,134,14,203.0431,0.9245,1.1885,0.6296,0.2699,1.0,1.0,1.0,43.0371,
"[[141 172], [143 157], [144 127], [131 120], [135 107]]",141,172,135,107,5,73.5157,0.7059,0.8015,0.5665,0.2269,0.9,0.9,1.0,38.5541,
"[[ 26 134], [ 33 127], [ 38 119], [ 45 101], [50 98], [61 92], [66 86]]",26,134,66,86,7,64.8178,0.92,1.0043,0.3081,0.2914,1.0,1.0,1.0,40.8923,
"[[135  28], [98 13], [81  5], [60 51], [61 58], [66 86], [ 63 111], [ 61 126]]",135,28,61,126,8,185.1061,0.7931,1.0337,0.9117,0.8917,1.0,1.0,1.0,40.7667,
"[[ 40 125], [ 54 146], [ 59 152], [ 67 156], [ 77 161], [102 168], [127 162]]",40,125,127,162,7,104.8452,0.0,0.1363,0.0475,0.0935,0.25,0.3,0.5,32.0194,
"[[130  73], [131  94]]",130,73,131,94,2,21.0238,0.0,0.0273,0.0185,0.0786,0.05,0.1,0.1,30.6448,
"[[51 83], [66 86], [ 73 101], [ 89 113], [108 118], [130 123], [144 127], [144 147]]",51,83,144,147,8,128.6181,0.4828,0.65,0.4156,0.399,0.7,0.7,0.7,37.186,
"[[38 94], [ 42 103]]",38,94,42,103,2,9.8489,0.0,0.0128,0.0637,0.1608,0.0,0.0,0.0,30.5509,
"[[63 66], [66 86], [ 63 111], [ 66 132]]",63,66,66,132,4,66.6163,0.0,0.0866,0.1258,0.0177,0.15,,,31.296,
"[[ 37 143], [ 41 139], [ 48 117], [62 96]]",37,143,62,96,4,53.9825,0.0,0.0702,0.0705,0.0465,0.15,,,31.1898,
"[[ 45 136], [ 48 117], [62 96]]",45,136,62,96,3,44.4742,0.0,0.0578,0.0173,0.0465,0.1,,,30.9759,
"[[126  89], [138  84], [164  90], [178  94], [175  69], [166  62], [149  51]]",126,89,149,51,7,111.0731,0.84,0.9844,0.6233,0.6033,,,,40.4801,
"[[ 37 154], [ 41 139], [ 43 119], [ 45 101], [50 81], [56 72], [60 51], [79  5], [95 18]]",37,154,95,18,9,176.9294,0.5758,0.8058,0.7257,0.7091,,,,38.6569,
"[[ 74 119], [ 87 115], [108 118], [130 123], [144 127]]",74,119,144,127,5,71.9359,0.0588,0.1523,0.351,0.1591,,,,32.0633,
"[[153 122], [154 137], [130 123], [110 117], [ 92 114], [ 63 111]]",153,122,63,111,6,111.1018,0.619,0.7634,0.5403,0.0745,,,,38.1341,
"[[174  93], [159  91], [131  94], [130  95], [125 101], [119 108], [110 117], [ 99 120], [ 75 118], [ 51 123], [ 40 125]]",174,93,40,125,11,145.6455,0.2195,0.4088,0.4564,0.0571,,,,35.0956,
"[[ 46 145], [ 38 143], [ 22 138]]",46,145,22,138,3,25.0093,0.0,0.0325,0.1919,0.289,,,,30.8123,
"[[187  68], [184  62], [180  53]]",187,68,180,53,3,16.5571,0.3333,0.3548,0.2139,0.2397,,,,34.0776,
"[[88 66], [87 64], [60 51], [81  5], [98 13], [135  28], [138  45]]",88,66,138,45,7,158.7454,0.48,0.6864,0.8663,0.1918,,,,37.2771,
"[[74 87], [91 82], [113  89], [125 101], [135 107]]",74,87,135,107,5,69.4393,0.0588,0.1491,0.1026,0.1052,,,,32.0423,
"[[127 179], [138 165], [143 157], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [143  42], [132  30]]",127,179,132,30,11,183.1736,1.0,1.2381,0.6726,0.3547,,,,43.2238,
"[[132 179], [142 152], [144 127], [131 120], [132 115], [130  95]]",132,179,130,95,6,93.8358,0.8095,0.9315,0.6189,0.316,,,,39.8959,
"[[129  79], [138  84], [164  90], [178  94], [175  69], [153  54], [143  42], [132  30], [123  45]]",129,79,123,45,9,152.7378,0.7879,0.9865,0.6822,0.668,,,,40.5768,
"[[79  5], [95 18], [120  28], [143  42], [153  54], [166  62], [170  71], [172  75]]",79,5,172,75,8,119.673,0.3448,0.5004,0.3596,0.0918,,,,35.7295,
"[[72 95], [ 75 118], [ 72 144], [ 93 162], [111 170]]",72,95,111,170,5,96.7237,0.2353,0.361,0.3719,0.0806,,,,34.0384,
"[[153 122], [154 137], [130 123], [112 121], [ 94 127], [ 89 129], [ 69 135], [ 45 136], [ 37 133], [ 18 138]]",153,122,18,138,10,158.3801,0.4324,0.6383,0.372,0.3694,,,,37.1997,
"[[ 31 157], [ 37 154], [ 54 146], [ 59 143], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [153  54], [156  59]]",31,157,156,59,16,225.2679,1.0,1.2928,0.6293,0.276,,,,44.2478,
"[[128 185], [118 177], [109 171], [102 168], [ 93 162], [ 72 144], [ 74 119], [72 95]]",128,185,72,95,8,118.877,0.2759,0.4304,0.4757,0.2994,,,,35.0331,
"[[138 180], [122 173], [111 170], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [50 98], [43 91]]",138,180,43,91,9,138.7321,0.3939,0.5743,0.4206,0.2475,,,,36.5152,
"[[95 18], [81  5], [60 51], [81 66], [100  83], [113  89], [123 101], [128 108]]",95,18,128,108,8,159.5145,0.931,1.1384,0.9031,0.8865,,,,41.9321,
"[[171  41], [148  33], [166  62], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 54 146], [ 39 157]]",171,41,39,157,16,255.288,0.9016,1.2335,0.6375,0.0515,,,,43.515,
"[[117  89], [117  76]]",117,89,117,76,2,13.0,0.0,0.0169,0.0559,0.0412,,,,30.5774,
"[[50 98], [ 51 123], [ 59 143], [ 67 156]]",50,98,67,156,4,61.825,0.0,0.0804,0.0264,0.0456,,,,31.2557,
"[[ 75 132], [ 89 129], [108 118], [123 101], [129  79]]",75,132,129,79,5,81.7474,0.2941,0.4004,0.1443,0.117,,,,34.5011,
"[[ 45 101], [50 98], [61 92], [74 87], [91 82], [117  89], [130  95]]",45,101,130,95,7,91.253,0.08,0.1986,0.1098,0.0773,,,,32.706,
"[[ 79 133], [ 72 144], [ 93 162], [102 168], [117 165], [138 165]]",79,133,138,165,6,87.8108,0.381,0.4952,0.3873,0.1625,,,,35.556,
"[[ 84 112], [ 73 101], [73 96], [69 73], [65 63], [63 58], [60 51], [81  5], [105  27]]",84,112,105,27,9,150.7973,0.6061,0.8021,0.6819,0.6695,,,,38.7407,
"[[ 79 133], [ 74 119], [62 96], [59 81], [51 83]]",79,133,51,83,5,64.3516,0.1765,0.2602,0.1195,0.0401,,,,33.1778,
"[[121 179], [118 177], [109 171], [102 168], [ 90 162], [ 68 145], [ 51 123]]",121,179,51,123,7,91.0601,0.0,0.1184,0.0876,0.0023,,,,31.9035,
"[[118 178], [138 180]]",118,178,138,180,2,20.0998,0.2,0.2261,0.053,0.044,,,,32.639,
"[[117  89], [123 101], [128 115], [131 120], [144 127], [144 147], [125 158], [117 165], [111 170], [108 175]]",117,89,108,175,10,115.1041,0.6486,0.7982,0.5939,0.5191,,,,39.0002,
"[[ 67 156], [ 59 152], [ 40 158]]",67,156,40,158,3,28.8691,0.0,0.0375,0.0605,0.0318,,,,30.8448,
"[[110 117], [108 118], [ 89 129], [ 76 137], [ 77 161], [ 90 173]]",110,117,90,173,6,81.1675,0.0952,0.2007,0.2606,0.0303,,,,32.6393,
"[[128 115], [121 110], [119 108], [113  89], [100  83], [90 74], [65 63]]",128,115,65,63,7,86.4401,0.24,0.3524,0.4391,0.1265,,,,34.2671,
"[[137 162], [131 165], [111 170], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [61 92]]",137,162,61,92,8,128.0105,0.3448,0.5112,0.5658,0.3189,,,,35.7995,
"[[127 179], [109 171], [102 168], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [66 86], [61 58]]",127,179,61,58,9,153.6365,0.3636,0.5633,0.5358,0.3236,,,,36.3371,
"[[125 158], [135 154], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [143  42], [120  28], [99 23]]",125,158,99,23,11,201.6092,1.0,1.2621,0.768,0.5562,,,,43.3787,
"[[ 71 140], [ 76 137], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [174  93], [187  68], [184  62]]",71,140,184,62,12,154.4951,0.4222,0.623,0.485,0.2217,,,,37.3331,
"[[44 71], [61 92], [62 96], [ 71 116], [ 75 132]]",44,71,75,132,5,69.5658,0.4706,0.561,0.1674,0.0342,,,,36.1655,
"[[135  28], [132  30], [123  45], [125  44]]",135,28,125,44,4,23.3345,0.8462,0.8765,0.1289,0.0519,,,,39.4028,
"[[153 122], [144 147], [135 154]]",153,122,135,154,3,37.9724,0.0,0.0494,0.1367,0.0729,,,,30.9212,
"[[ 97 113], [ 95 117], [ 89 128], [ 84 134]]",97,113,84,134,4,24.8123,0.0,0.0323,0.0412,0.0225,,,,30.9447,
"[[72 95], [46 95], [39 88]]",72,95,39,88,3,35.8995,0.3333,0.38,0.0652,0.1486,,,,34.2402,
"[[101 128], [112 121], [130 123], [144 127], [144 147], [138 153], [131 165]]",101,128,131,165,7,88.0871,0.52,0.6345,0.5374,0.4433,,,,37.0838,
"[[138 180], [141 172], [149 155], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [143  42], [130  35], [112  25]]",138,180,112,25,12,198.2008,1.0,1.2577,0.7449,0.5503,,,,43.4841,
"[[63 58], [60 51], [81  5]]",63,58,81,5,3,58.1826,0.6667,0.7423,0.7154,0.582,,,,37.7647,
"[[123  87], [125 101], [121 110]]",123,87,121,110,3,23.991,0.0,0.0312,0.0331,0.0745,,,,30.8038,
"[[126  89], [125 101], [131 120], [144 127], [144 147], [125 158], [102 168]]",126,89,102,168,7,113.7656,0.64,0.7879,0.5978,0.5458,,,,38.5007,
"[[ 18 138], [ 25 128], [ 29 120], [ 42 103], [46 95], [50 81], [56 72], [60 51], [81  5], [112  25]]",18,138,112,25,10,185.709,0.9189,1.1603,0.8496,0.8371,,,,42.2992,
