Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[141  80], [150  90], [154  88], [178  82], [172  72], [168  62], [157  48], [130  35], [117  28], [101  23], [90 20], [75  9]]",141,80,75,9,12,174.3985,0.7778,0.9173,0.6673,0.6199,0.9,1.0,1.0,40.6931,
"[[ 60 145], [ 76 135], [ 88 131], [105 123], [125 112], [133 108], [145  95]]",60,145,145,95,7,99.7669,0.16,0.2398,0.3354,0.1303,0.25,0.3,0.4,33.3665,
"[[136  35], [149  48], [161  56], [178  76], [158  93], [148  94]]",136,35,148,94,6,95.3545,0.7619,0.8382,0.5749,0.5549,0.85,0.85,1.0,39.24,
"[[61 59], [63 68], [67 94], [ 70 113], [ 76 135], [ 82 154], [ 86 164], [ 91 170]]",61,59,91,170,8,116.0698,0.0,0.0929,0.189,0.0188,0.2,0.25,0.4,32.0034,
"[[ 56 156], [ 40 149], [ 38 147], [ 17 133]]",56,156,17,133,4,45.5315,0.0,0.0364,0.4199,0.3867,0.15,0.2,0.42,31.0101,
"[[101  23], [117  28], [130  35], [152  46], [164  49]]",101,23,164,49,5,68.4939,0.1765,0.2313,0.002,0.0728,0.25,0.3,0.2,33.0642,
"[[47 71], [40 86]]",47,71,40,86,2,16.5529,0.2,0.2132,0.1139,0.2109,0.2,0.2,0.22,32.5616,
"[[163 134], [154 128], [145 151], [140 166]]",163,134,140,166,4,51.3262,0.3846,0.4257,0.1771,0.077,0.45,0.45,0.5,34.9024,
"[[151 121], [157 112], [169  93], [175  73], [168  62], [157  48], [136  35], [110  28]]",151,121,110,28,8,136.6364,0.5517,0.661,0.6675,0.5022,0.7,0.65,0.8,37.6766,
"[[ 88 139], [ 84 126], [ 79 120], [67 94], [66 70], [72 56]]",88,139,72,56,6,89.2997,0.2381,0.3095,0.2272,0.0724,0.3,0.35,0.3,33.9524,
"[[127 112], [122 103], [118  81], [108  70]]",127,112,108,70,4,47.5224,0.0,0.038,0.18,0.0222,0.12,0.0,0.2,31.0247,
"[[ 72 153], [ 74 151], [ 83 145], [ 88 139], [ 89 138]]",72,153,89,138,5,22.8695,0.0,0.0183,0.0698,0.0273,0.1,0.0,0.1,30.9633,
"[[163 134], [154 128], [143 129], [123 114], [105 123], [ 88 131]]",163,134,88,131,6,85.7749,0.4286,0.4972,0.2921,0.0384,0.53,0.55,0.6,35.8335,
"[[ 67 103], [ 84 109], [ 99 118], [125 112], [133 108], [145  95], [158  93], [178  76], [173  56], [170  47], [171  42]]",67,103,171,42,11,163.4432,0.5366,0.6674,0.5322,0.5141,0.68,0.7,0.65,38.0792,
"[[ 62 121], [67 94], [66 70], [71 64], [75 55]]",62,121,75,55,5,69.139,0.0,0.0553,0.1562,0.0454,0.1,0.1,0.1,31.3022,
"[[125  96], [121 100], [117 111], [ 99 121], [ 79 120], [ 55 124]]",125,96,55,124,6,82.3088,0.3333,0.3991,0.2384,0.1156,0.4,0.4,0.45,34.8542,
"[[113 170], [108 169], [ 81 157], [ 70 138], [ 66 129], [ 62 121], [ 53 110]]",113,170,53,110,7,89.6059,0.48,0.5517,0.2205,0.1996,0.55,0.55,0.55,36.4952,
"[[147 145], [144 135], [123 114], [116 126], [107 134]]",147,145,107,134,5,66.0728,0.7647,0.8176,0.428,0.3456,0.8,0.9,1.0,38.9344,
"[[150  90], [145  95], [133 108], [125 112], [123 114], [107 130], [102 134], [ 83 145], [ 70 150], [ 64 153]]",150,90,64,153,10,108.1572,0.5135,0.6,0.4063,0.3467,0.6,0.6,0.6,37.3239,
"[[ 35 147], [ 24 137], [ 17 130]]",35,147,17,130,3,24.7656,0.1111,0.1309,0.3568,0.4548,0.15,0.2,0.4,31.851,
"[[136  68], [109  75]]",136,68,109,75,2,27.8927,0.0,0.0223,0.0724,0.0247,0.05,0.0,0.1,30.6426,
"[[84 84], [89 78], [92 76], [101  73], [118  81], [128  84], [154  88], [178  82], [172  72], [168  62], [162  52], [147  35]]",84,84,147,35,12,157.9415,0.6444,0.7708,0.675,0.5715,0.8,0.75,0.8,39.2372,
"[[ 80 165], [ 81 157], [ 92 146], [107 130], [123 114], [125 112], [133 108], [145  95], [153  93]]",80,165,153,93,9,105.8885,0.4545,0.5392,0.3053,0.2697,0.58,0.6,0.7,36.5976,
"[[ 58 100], [ 67 103], [ 88 113], [111 119]]",58,100,111,119,4,56.516,0.2308,0.276,0.1883,0.0891,0.3,0.35,0.4,33.4009,
"[[ 43 152], [ 49 133], [ 53 110], [57 93]]",43,152,57,93,4,60.7343,0.0769,0.1255,0.0707,0.0351,0.2,0.15,0.2,31.8912,
"[[ 73 164], [ 72 153], [ 76 135], [ 79 120]]",73,164,79,120,4,44.7815,0.0,0.0358,0.0498,0.0375,0.1,0.1,0.15,31.0046,
"[[ 58 149], [ 65 153], [ 86 164]]",58,149,86,164,3,31.7688,0.0,0.0254,0.0885,0.0025,0.1,0.1,0.15,30.7902,
"[[134 166], [108 169], [ 81 157], [ 70 138], [ 66 129], [ 62 121], [ 56 109], [49 94], [49 83]]",134,166,49,83,9,137.4361,0.4848,0.5947,0.5028,0.2806,0.6,0.6,0.6,37.1319,
"[[ 31 119], [ 39 124], [ 49 133], [ 55 136], [ 68 148], [ 70 150], [ 72 153], [ 86 164], [103 176], [122 187], [124 189]]",31,119,124,189,11,117.1177,0.4878,0.5815,0.1185,0.1085,0.6,0.55,0.6,37.2515,
"[[122 103], [117 111], [105 123], [ 89 138], [ 81 157]]",122,103,81,157,5,68.9518,0.0,0.0552,0.1318,0.0135,0.15,0.2,0.5,31.3008,
"[[ 88 139], [ 84 126], [ 79 120], [67 94], [66 70], [63 48]]",88,139,63,48,6,96.2718,0.2381,0.3151,0.3288,0.1627,0.32,0.35,0.4,34.0035,
"[[ 83 145], [ 68 143], [ 55 138], [ 35 137]]",83,145,35,137,4,49.0861,0.0,0.0393,0.0178,0.0803,0.1,0.1,0.2,31.0362,
"[[154 128], [163 134]]",154,128,163,134,2,10.8167,0.6,0.6087,0.2168,0.1178,0.6,0.6,0.65,36.5236,
"[[168  62], [178  76], [158  93], [145  95], [133 108], [125 112], [123 114], [116 126], [ 95 135]]",168,62,95,135,9,122.8107,1.0,1.0,0.6512,0.6387,1.0,1.0,1.0,42.182,
"[[61 59], [66 70]]",61,59,66,70,2,12.083,0.0,0.0097,0.0209,0.0762,0.0,0.0,0.0,30.5268,
"[[ 55 138], [ 64 136], [ 84 126], [ 99 121], [101 119], [123 114], [125 112], [133 108], [145  95], [158  93], [178  76], [168  62], [157  48], [130  35], [117  28], [101  23], [83 17], [75 12]]",55,138,75,12,18,266.5586,0.6812,0.8944,0.7344,0.7244,1.0,1.0,1.0,41.1161,
"[[152  40], [157  48], [161  56], [172  72], [178  82], [154  88], [128  84], [118  81], [101  73], [92 76], [66 70], [49 83], [36 92]]",152,40,36,92,13,203.1123,0.6531,0.8156,0.7248,0.6575,1.0,1.0,1.0,39.7743,
"[[72 56], [66 70], [67 94], [ 79 120], [ 85 135]]",72,56,85,135,5,84.0435,0.2353,0.3025,0.2059,0.0062,0.35,0.3,0.35,33.7667,
"[[97 55], [119  70], [131  80], [150  90], [154  88], [178  82], [172  72], [168  62], [165  51]]",97,55,165,51,9,126.7632,0.4545,0.5559,0.532,0.4872,0.55,0.6,0.6,36.7504,
"[[133 108], [125 112], [123 114], [101 119], [ 99 121], [ 84 126], [ 67 127], [ 56 130]]",133,108,56,130,8,81.4047,0.3103,0.3754,0.2171,0.15,0.4,0.4,0.4,34.8556,
"[[88 57], [82 70], [67 94], [ 70 113], [ 72 134], [ 74 151], [ 76 163]]",88,57,76,163,7,112.2329,0.0,0.0898,0.225,0.0294,0.1,0.1,0.15,31.8562,
