N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;40;-0.11;0.2;0.2;0.2;0.2;0.2;0.19;0;0
1;41;0.62;0.19;0.23;0.18;0.25;0.14;0.0;0;0
2;41;1.13;0.21;0.2;0.19;0.23;0.17;0.15;0;0
1;42;0.62;0.19;0.23;0.18;0.25;0.14;0.01;0;0
2;42;1.13;0.21;0.2;0.19;0.23;0.17;0.12;0;0
1;43;0.62;0.19;0.23;0.18;0.25;0.14;0.01;0;0
2;43;1.13;0.21;0.2;0.19;0.23;0.17;0.01;0;0
1;44;0.62;0.19;0.23;0.18;0.25;0.14;0.01;0;0
2;44;1.13;0.21;0.2;0.19;0.23;0.17;0.04;0;0
1;45;0.62;0.19;0.23;0.18;0.25;0.14;0.05;0;0
2;45;1.13;0.21;0.2;0.19;0.23;0.17;0.13;0;0
1;46;0.62;0.19;0.23;0.18;0.25;0.14;0.13;0;0
2;46;1.13;0.21;0.2;0.19;0.23;0.17;0.12;0;0
1;47;0.62;0.19;0.23;0.18;0.25;0.14;0.15;0;0
2;47;1.13;0.21;0.2;0.19;0.23;0.17;0.13;0;0
1;48;0.62;0.19;0.23;0.18;0.25;0.14;0.15;0;0
2;48;1.13;0.21;0.2;0.19;0.23;0.17;0.13;0;0
1;49;0.62;0.19;0.23;0.18;0.25;0.14;0.05;0;0
2;49;1.13;0.21;0.2;0.19;0.23;0.17;0.04;0;0
1;50;0.62;0.19;0.23;0.18;0.25;0.14;0.15;0;0
2;50;1.13;0.21;0.2;0.19;0.23;0.17;0.01;0;0
1;51;0.62;0.19;0.23;0.18;0.25;0.14;0.13;0;0
2;51;1.13;0.21;0.2;0.19;0.23;0.17;0.14;0;0
1;52;0.62;0.19;0.23;0.18;0.25;0.14;0.13;0;0
2;52;1.13;0.21;0.2;0.19;0.23;0.17;0.04;0;0
1;53;0.62;0.19;0.23;0.18;0.25;0.14;0.0;0;0
2;53;1.13;0.21;0.2;0.19;0.23;0.17;0.01;0;0
1;54;0.62;0.19;0.23;0.18;0.25;0.14;0.0;0;0
2;54;1.13;0.21;0.2;0.19;0.23;0.17;0.19;0;0
1;55;0.62;0.19;0.23;0.18;0.25;0.14;0.13;0;0
2;55;1.13;0.21;0.2;0.19;0.23;0.17;0.04;0;0
1;56;0.62;0.19;0.23;0.18;0.25;0.14;0.01;0;0
2;56;1.13;0.21;0.2;0.19;0.23;0.17;0.04;0;0
1;57;0.62;0.19;0.23;0.18;0.25;0.14;0.05;0;0
2;57;1.13;0.21;0.2;0.19;0.23;0.17;0.04;0;0
1;58;0.62;0.19;0.23;0.18;0.25;0.14;0.15;0;0
2;58;1.13;0.21;0.2;0.19;0.23;0.17;0.01;0;0
1;59;0.62;0.19;0.23;0.18;0.25;0.14;0.01;0;0
2;59;1.13;0.21;0.2;0.19;0.23;0.17;0.0;0;0
1;60;0.62;0.19;0.23;0.18;0.25;0.14;0.05;0;0
2;60;1.13;0.21;0.2;0.19;0.23;0.17;0.11;0;0
